,イチャギシ,カップル,キンシッ,クスカリ,クスハー,クッキー,グラウン,グーグル,コントロ,コンピュー,ジャングル,スクリーン,スルドッキン,スーパー,ツンデレ,テクノロ,ドタバタ,ドンパッ,ニコチン,ニヤニタ,ハッピー,バリスタ,バリトン,ピンポイ,ピーカー,フラワー,ブルピー,ブーメラ,プスピー,ボンキュッ,ボードス,ポンコツ,ムズアップ,メチャクチャ,リンエン,リーンベン,ワンピー,ワーカー,ワーポイ
N0410EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000はたして約束の時間に、通用門にジェインが現れた。手紙の内容からある程度のことは察していたのかもしれない。彼女もいつものお仕着せ姿ではなく、清楚なワンピース姿だった。'],,
N4707EYline_info_k,,['「あれ、ホラーものなら霊に憑かれたカップルが、エンディングで謎の自殺を遂げたって感じだよな」'],,,,,,,,,,,,['\u3000これももう20回以上やってきたので慣れたものだ。身体を鍛えればなんとかなるかとひたすら鍛えた1年もあったのだけど、ループすると鍛えなおしな上、筋肉痛で倒れてる時に事件が起きたりするからやめた。それでも鍛えた技術はなくならない。俺たちはある意味スーパー高校生になっていた。'],,,,,,,['「今度こそハッピーエンド目指すよシュウくん！」'],,,,"['「シュウくん、スピーカーにしてスピーカーに」', '「シュウくん、スピーカーにしてスピーカーに」']",,,,,,,,,,,,,,
N0915EUline_info_k,,['\u3000勇者と聖女とかお似合いのカップルだと思うが、今の彼氏は一応俺だぞ。'],,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000先日、勇者から『聖女は僕の下半身の上でアヘ顔ダブルピースしてるよ』と手紙が届いたのだ。', '\u3000アヘ顔ダブルピースなるモノが謎だが、文章から察するにそういう事なのだろう。']",,,['「しかし、聖女がボンキュッボンのわがままボディになれたのは俺の性的マッサージの賜物だぞ」'],,,,,,,,,
N3221ETline_info_k,,,,,,,,,,,"['\u3000二人はエデンの外に出ることは考えたことも無く、助けの来ない楽園（ジャングル）でアナコンダとサバイバルを強いられている。', '「わかった。ごめんよ。ボクが悪かった。謝るよ。暑くて苛々してたんだ。湿度が90％ぐらいあるんじゃないかなこのジャングル」']",,,,,,,,,,['\u3000そして二人は知恵のあるキスをしてハッピーエンド────二人の遥か背後、霞がかる程遠くになったエデンの園から、祝福するように花火が上がった。'],,,,,,,['\u3000完全にヒステリーを起こしたイヴは話を聞いてくれなかった。バナナを次々にブーメランのようにアダムに投げつけて泣きじゃくる。'],,,,,,,,,,,
N1491ENline_info_k,,,,,,,,,,,,,,,['\u3000まあこの子の祖父母の場合は二人で百まで生きようとしてる時点で口の悪いツンデレ爺さんな気もする。'],,,,,,,,,['\u3000国土交通省をピンポイントに責めることわざは無い。あと「地、固まる」みたいなイントネーションで言っても誤魔化されないからな。'],,,,,,,,,,,,,,,
N3075ENline_info_k,,['これが学園屈指の秀才カップルで通っているのだから始末に負えない。'],,,,,,,['少女は髪の毛と性格と脳みそがゆるふわなので、そういった会話のタイミングと場所のコントロールは大体少年の方が取っている。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2060EJline_info_k,,,,,,,,,,,,,,,,,,,,,"['\u3000……ハッピー、ニュー、イヤー？', '\u3000幸せ、ハッピー。']",,,['\u3000嫌な予感しかしないが、このフロアで唯一出社している俺の所へのピンポイント電話だ。'],,"['『貴様の会社：フラワー球体状のそれ・すなわち信頼ですの。私の社との関係をコンテニューしてください』', '『貴様の会社：""フラワー球体状のそれ・すなわち信頼ですの""へ』']",,,,,,,,,,,,,
N3058ERline_info_k,,['\u3000エリルと俺は子供の頃からの付き合いで、村でも熱々のカップルとして有名だった。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7831EKline_info_k,,,,,,,,"['「OKグーグル、世界で一番美しいのは誰？」', '「OKグーグル、世界で一番美しいのは誰？」', '「あ、いや、OKグーグル、白雪姫とは誰だ？」', '「OKグーグル、世界で一番美しいのは誰？」', '「今何と？OKグーグル、世界で一番美しいのは誰？」']",,,,,,,,"['女王は、知ってる、とは思ったが、その度の一団の様子が気になった。連中がやっていることは学問に重きを置かなかったこの国では知らぬ者ばかりだが、他国ではよく知られた「テクノロジー」の数々だ。', '「ふむ、このような無礼、法に則れば牢獄行きであるが、お前たちのテクノロジーに興味がある。特別に用件を聞いてやってもよい。」']",['こうやってドタバタと喧嘩するのはこの数日で何度目だろうか。どうやら彼らはいい仲間になってきたようだ。白雪姫はその様子を微笑ましく見ていた。'],,,,,,,,,,,,,,,,,,,['「久々に動かすからクリーンベンチをチェックしないと。」'],,,
N5852ESline_info_k,,,,,,,,,,,,['言って、真下はスクリーン一杯に張り紙を表示した。'],,['「まず一番問題なのは時給だよね？ なんだこれ。スーパーの特売チラシかよ。あと899円ってなに？ 端数を9にするのは安く見せるための小細工であって、時給でそれやっちゃダメだって分からない！？」'],,,,,,,,,,,,,,,,,,,,,,,,,['気のない返事をし、真下はパソコンの前に座りサッと電源を入れた。すぐにワードだかパワーポイントだかよく分からない何かが開いた。(僕はパソコンを全く使えない)']
N8450EYline_info_k,,,,,['「つまりー、先輩があんな職業は足手まといだからって、ラウル君をパーティーから追放しちって、あの子がブチギレマックスハートに至ったっつーわけっスよ」'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8128EDline_info_k,,,,,,,['\u3000体育館から出たら、丁度あいつらがグラウンドに転移してきた。二人居なかったけどマジで向こうに残ったのか。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4759EEline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['「ワイト、貴方は宮廷魔導師のワイト＝ワーカーホリックです。わかりましたね？」', '「宮廷魔導師のワイト＝ワーカーホリックです。良いですね？\u3000これは王命で社長命令です。貴方は勇者様と私と共に魔王を倒した我が国最強の魔法使いです」']",
N4562EUline_info_k,,,,,,,,,,,,,,,,,,,"['|【理由】これニコチン入ってるらし\u3000|', 'ピーマンにニコチンなんて入ってるわけない。', '椅子から立った僕はそのまま、スマホを片手にベッドに横になった。そしてなんとなく気になって「ピーマン ニコチン」と検索した。', 'タバコはナス科タバコ属の植物であり、同じナス科のトマトやピーマンにもニコチンが含まれています。', '「ニコチン入ってた！」', '今日はピーマンが小学五年生から忌み嫌われているという事実、そしてピーマンにニコチンが入ってるという雑学を学んだ。果たしてその知識が役に立つかは、言わずもがなである。']",,,,,,,,,,,,,,,,,,,,
N2695EXline_info_k,['『私は聖女なんで処女じゃなくなると魔法使えなくなるんです。でも私だって素敵な男性と仲良くなりたいんです。恋だってしたかったんです。勇者は顔はいいけど戦うしか能ないし。貴方や勇者に紹介してくれって頼んで出会っても全然いい男じゃないし！。それなのに貴方と幼馴染さんは一目憚らずイチャイチャギシアンしやがって。爆発しやがれ！羨ましい！』'],,,,,,,,,,,,['『あんたと私がマッスルドッキングしてできた娘が実家にいる。私の代わりにファッ〇していいぞ』'],,,,,,,,['「ああ、とりあえず懸念事は全部解決したな。ハッピーエンドでなによりだ」'],,,,,,,,,,,,,,,,,,
