,アーハッ,エンジン,エントロ,オタマジ,オンギャー,オンスー,オンボロ,カステラ,カタキチ,カタコト,カチャカチ,カップル,カラパー,カランポロ,カリフラ,ガサゴソ,ガタゴト,ガチャガチ,ガラクタ,ガーハッ,キコバタ,キャッスル,キラキラリ,キリギリ,キンキラ,キンシッ,キーパー,キーボー,キーワー,クスキュー,クッキー,グスカー,グラウン,グーリン,コロンコロ,コンクリ,コンクー,コントロ,コンポー,ゴーグル,ザックザク,シッギシ,シナプス,シャンパン,シャンボシャ,シートン,ジャングル,ジューシー,ジンクス,スカウト,スクリーン,スクワー,スポワー,スーハー,スーパー,タッカタ,タックル,チリリン,チリリーン,チンゲー,チンチラ,チンピラ,チンミシ,ツンコツン,ツンデレ,トロピカ,トンカラ,トンクラ,ドングリ,ドーピン,ノシカタ,ノシカッ,ハッキリ,ハッハー,ハッピー,ハラドキ,ハードボ,バカチン,バシャバシ,バタンバタ,パッチリ,パッチン,パンジー,パーキン,パーボリ,ビショビシ,ピングジ,ピンポイ,ピーカー,フラフラリ,ブラコン,ブリザー,ブービー,プリムラ,プンカー,ペットボ,ボンボリ,ポリシー,ポロリポロ,ポンコツ,ポーカー,ポーツカ,ムズアップ,ムンガン,メチャクチャ,リンプス,ワンピー,ワーカー,ワーバラ
N2326ELline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000白雪姫は毎日のようにリンゴのジャムやリンゴのコンポート、リンゴのパイなどを食べて、シナモン王子と幸せになりました。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1683DYline_info_k,,,,"['\u3000赤ずきん「……貴方たち何言ってるの？ カエルの子供は『オタマジャクシ』何だから、この3匹は皆んな大人。つまり、この場に『子供のカエル』なんてモノは存在しないのよ」\n', '\u3000ヘンゼル「馬鹿にすんな、カエルくらい知ってるよ！ オタマジャクシのことも。只、ちょっと忘れてただけだ！」\n']",,,,,,,,,"['シンデレラ「いえ、今夜開催される『バカラパーティー』に行きたかったんです」\n', '妖精「バカラパーティー！？」\n', 'シンデレラ「じゃ、じゃあ……、あの時できなかったバカラパーティーに行きたい……です」\n']",,,,,,,,,,,"['キリギリス『これはどういう事でしょう！？ 赤ずきん選手、全く攻撃の気配を見せず、舞台の上を逃げ回るばかりです！！ これは戦意喪失かァァ〜〜？？』\n', 'スピーカーから、キリギリスの大音量の声が響き渡ります。彼が実況しているように、舞台ではまるで、怪物が女の子を甚振っているようにしか見えないため、観客席からも様子がおかしいことに疑問の声が出始めていました。\n', 'キリギリス『ややっ！？ アリくん、その顔は何かに気づいたみたいですね！！』\n', 'キリギリス『と、言いますと！？』\n', 'キリギリス『なるほど！！ 作戦の一環だったわけですか！！』\n', 'キリギリス『何と恐ろしい！！ ですが、故にこそ彼女の実力が知れるというもの！！ これからの展開が期待されますねぇ！！』\n', 'キリギリス『確かに、ハタから見たら公開処刑にしか見えませんからね。子供には見せられない感じになっていますが……。しかし、この場合どうなるんでしょう。審判さん』\n', 'キリギリスは、舞台の端で待機していた審判に話を促しました。\n', 'キリギリス『どうしましょうアリくん。初っ端からこれでは盛り上がりに欠けます』\n', 'しかしキリギリスは、そんな彼女を他所に、難しい顔をしながら相方のアリと相談を始めました。どうやら彼は、目の前の泣いている少女より、大会の運営の方が気になるようです。\n', 'キリギリス『確かに。この大会は、革命的と言っても過言ではない規模で行われ、更に賞品もデカイですからね。【優勝者はどんな願いも叶えてもらえる】、という触れ込みで広告された天下一舞踏会！ 賞品を目的に参加された出場者も少なくないはずです！』\n', 'キリギリスとアリは、呑気にそんなことを話していました。\n', 'キリギリス『…………え？」\n', 'キリギリス『あ、赤ずきん選手？』\n', 'キリギリス『えーっと、これはどういう状況でしょう？』\n', 'キリギリス『そういう的外れなボケは要らないよアリくん！！』\n', 'キリギリスとアリがやり取りをしている中、審判は冷静に舞台の様子を確認します。\n', '埒があかないので、キリギリスは突然現れた彼女たちに話しかけようとしてみます。\n', 'キリギリス『えぇーっと、立て続けに混乱の連続ですが。取り敢えず貴女たちはどちら様でしょうか？』\n', 'キリギリス『えぇ！？ 嘘ですよ、だって貴女赤い頭巾なんて身に着けてないじゃないですか！』\n', 'キリギリス『し、しかしここにいる彼女が赤ずきんだと、王子様とシンデレラ様の言質は既にあって……』\n', 'キリギリス『！？』\n', 'キリギリス『王子様！？』\n', 'キリギリス『アリくんまでっ！！ てかなに、その突然の知ったかぶり！？』\n', '最早この状況で、収拾をつけられる存在はキリギリスのみとなりました。\n', 'キリギリス『ぐ、ぐぐぐっ！ 本物の赤ずきん選手は向こうで、こっちは偽物？ けど、勝ったのはコッチだから……でも、偽物だから無効試合に。いや、それだと再試合になるが、ティラ乃選手はもう戦える状態ではない！ つまり、この状況における最適解とは…………』\n', '脳がおかしくなりそうな感覚に溺れそうになりながらも、しかしキリギリスはプロとして、この状況を上手くまとめる手段を模索していきます。\n', '赤ずきんのその言葉を聞いた瞬間、キリギリスの脳内に電流が走ります。\n', 'キリギリス『はっ！ なるほど、その手があったか！』\n', 'キリギリス『何だか紛らわしいが、この場を収めるにはこの手段しかない！ 主催のシンデレラ様、第１試合２回目の許可をッ！！』\n', 'キリギリス『許可が出ましタァ！！ それでは皆様、早速ですがここでスペシャルイベント！！ 今大会に出場する本当の赤ずきん選手を決める戦い！ 第１試合２回目改め、≪第１.５試合≫を始めていきたいと思います！！ 初っ端も初っ端からトラブルの連続ですが、本当にどうなるんだこの大会はァァ！！』\n', 'キリギリスは、早くもヤケになって声を張り上げます。勢いのみで押し切っているのが丸わかりでした。\n', 'キリギリス『それでは試合を……、と言いたいところですが貴女！ 本当のお名前を教えてくれませんか？ 赤ずきんが２人では紛らわしいので』\n', 'キリギリス『さあさあさあッ、気を取り直して行きましょう！！ 波乱万丈の天下一舞踏会、【赤ずきんＶＳマッチ売りの少女】！！ まさかの第１.５試合を開始しますっっ！！！！』\n', '\u3000キリギリス『……さあ、始まりました！ 乙女たちの晴れ舞台『天下一舞踏会』！！ 汗と涙が溢れ出す白熱のコロシアムが、今開催されます！！ 今回の舞踏会の実況を務めますはワタクシ、歌と楽器のスペシャリスト【風来坊キリギリス】！！ そして……』\n', '\u3000キリギリス『……さあ、始まりました！ 乙女たちの晴れ舞台『天下一舞踏会』！！ 汗と涙が溢れ出す白熱のコロシアムが、今開催されます！！ 今回の舞踏会の実況を務めますはワタクシ、歌と楽器のスペシャリスト【風来坊キリギリス】！！ そして……』\n', '\u3000会場に設置されたスピーカーから、大音量で２人の声が響き渡ります。それは、シンデレラが今日のために雇った今夜の舞台を盛り上げてくれる役者、アリとキリギリスでした。\n', '\u3000キリギリス『いや〜遂にこの日が来ましたねアリくん！ ワタクシ、この日が待ち遠し過ぎて、昨日までずっとワクワクしてたんですよぉ！！』\n', '\u3000アリ『そうですねキリギリスさん、ボクも今日をワクワクして待ってました。何せ今夜は史上初といっても過言ではない、女性限定で行われる世界規模のバトル舞踏会。出場者、そして観客ともに大いに賑わってくれている事でしょう』\n', '\u3000キリギリス『それでは皆様、お待たせしました！ いよいよ出場者の登場です！！』\n', '\u3000キリギリスが合図した瞬間。\n', '\u3000キリギリス『オォー凄い熱狂です！！ 歓声を上げる観客たち！ それに応える出場者！ おとぎの城で行われる空前絶後の異種間舞踏会！！ 果たして、誰が優勝するのか！？ それでは、只今よりおとぎの国を治める王、【国王様】から開催前の挨拶をしていただきたいと思います！！』\n', '\u3000そして満を持したとばかりに、キリギリスが高らかに叫びます。\n', '\u3000キリギリス『さあっ！！ 興奮が冷め切らないうちに、今回の舞踏会の主催者であるシンデレラ様から、開催の合図をお願いしたいと思います！！ どうぞっ！！』\n', '\u3000キリギリス『さあさあっ！！ では早速第１試合、１回戦の試合を始めていきたいと思います！！ まず最初の対戦者たちはぁぁぁ〜〜…………」\n', '\u3000舞台の大広間に立つ出場者の１人が、キリギリスに声を掛けました。\n', '\u3000キリギリス『おや？ 貴女は、おとぎの森からやってきた【赤ずきん】選手ですね。どうされましたか？』\n', '\u3000キリギリス『はっはっはっ！ 何を仰られる、貴女はどう見ても赤い頭巾をかぶっているじゃないですか！』\n', '\u3000キリギリスは、うーむと唸ってから手元にある資料に目を移しました。\n', '\u3000キリギリス『……なるほど。この資料には、【赤ずきん】選手の特徴についてほとんど書かれていませんね。唯一書かれているのは、『赤い頭巾をかぶった少女』の一言のみ……。えぇー、この資料を作成したのは誰でしょうか？』\n', '\u3000キリギリス『では、シンデレラ様にお尋ねします！ 彼女は、本当に【赤ずきん】選手ではないのでしょうか！？』\n', '\u3000キリギリス『そうですねアリくん！ さあ、真偽の程は如何なのでしょうか！？』\n', '\u3000キリギリス『オーっと間違いは無いのだそうです！！ という訳で舞踏会は続行！！ 問題なく、これより第１試合に取り掛かりたいと思いますッ！！』\n', '\u3000キリギリス『第１試合の対戦者は……おおっとこれは偶然！！ 最初の試合を行う１人目は、おとぎの国で最も恐ろしいと呼ばれる悪夢の地、【おとぎの森】。人を喰らい、闇を誘うとされる魔の森からやってきた、年端もいかぬ可憐な少女！！ 『ヘビィランク・キュートガール』赤ずきん選手！！』\n', '\u3000キリギリス『そして対するのは、【ジェラシック大陸】からやってきた巨竜！ 『ティラノサウルス』のティラ乃選手です！！』\n', '\u3000キリギリス『あー大丈夫ですよティラ乃選手。ちょうど今、始まったところですから』\n', '\u3000キリギリス『それでは、行ってみましょーっ！！ 第１試合【赤ずきんＶＳティラ乃】、試合開始ですッ！！』\n', '\u3000キリギリス『さあさあ始まりました！！ 天下一舞踏会、二回戦の幕開けです！！ 実況は引き続きワタクシ、キリギリスがお送りします！！』\n', '\u3000キリギリス『さあさあ始まりました！！ 天下一舞踏会、二回戦の幕開けです！！ 実況は引き続きワタクシ、キリギリスがお送りします！！』\n', '\u3000キリギリス『マッチ売り選手の爆熱にあてられてさっきまで寝込んでいました。ほら、我々虫ですから暑さに弱いんですよ』\n', '\u3000キリギリス『切り替えていこうアリくん。今は目の前の試合に集中するんだ』\n', '\u3000キリギリスが落ち込むアリを励まします。\n', '\u3000キリギリス『それではいってみましょーう！ 【赤ずきん選手VSかぐや選手】、天下一舞踏会最初の第二回戦、開始です！！』\n', '\u3000キリギリス『おおおおぉぉおっとお！！ 今何が起きたのでしょうか！？ 突然、赤ずきん選手の身体が場外まで吹き飛びました！！ し、しかし、赤ずきん選手も負けじとそれに対抗！！ なんと拳圧で場内に戻るという荒技を繰り広げましたああああああ！！』\n', '\u3000キリギリス『な、なんという事でしょう！！ 赤ずきん選手が二段ジャンプをしたかと思えば、今度はかぐや選手が宙を舞い始めたぞお！？』\n', '\u3000キリギリス『スペース合気道！？  ……正直言いますとワタクシ、一回戦の試合を殆ど確認していないので、現段階で各選手の能力など全く把握しておりません！！ データ分析表も手元にございません！！ という訳で、かぐや選手の謎の現象について解説のアリくんに聞いてみましょう！！』\n', '\u3000キリギリス『そりゃ解説担当なんだから当然だよ』\n', '\u3000キリギリス『さあさあ、この状況をどう見ますかアリくん！！』\n', '\u3000キリギリス『投げやりな解説、ありがとうアリくん！！ では引き続き二人の対決を観ていきましょうか！！』\n']",,,,,,,['よく見るとその家は、全てお菓子で出来ていました。壁はクッキー、扉はチョコレート、窓は砂糖、屋根は｜瓦煎餅《かわらせんべい》。\n'],['\u3000赤ずきん「……今までずっと、ダバダバの≪ロングスカート≫しか履いてこなかったから、その発想はなかったわ。そうよ、スカートを手で押さえれば問題解決じゃない！」\n'],,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000赤ずきん「必殺タックルッ！！」\n', '\u3000走るジュウガミを、後ろから追いかける形で、赤ずきんがジュウガミにタックルを仕掛けました。\n']",,,,,,,,,,,,,,,,,"['\u3000赤ずきん「ハッハー！ これだから元都会っ子は常識に疎いのよ。まさかカエルのことも知らないなんて！」\n', '\u3000赤ずきん「ハッハッハー！ 何よヘンゼル、貴方大したことないのね！」\n']",,,,['\u3000お后「このバカチンがっ！！ お前のせいで計画が台無しになるところだったじゃないか！！」\n'],,,,,,"['\u3000赤ずきん「スパーキングボディプレスッッ！！！！」\n', '\u3000赤ずきん「私は、まだ餓狼拳法を教えてもらってないから。まあ、暇を持て余していたから、お爺ちゃんやお婆ちゃんが稽古しているのを真似して我流で覚えたのはあるけど。『スパーキングボディプレス』とか」\n', '\u3000赤ずきん「ばかな、私のスパーキングボディプレスを喰らってもう意識が戻るなんて！」\n']",,,['\u3000お后「そうそう。こう、一昔前に流行ったホッピングジャンプのようにぴょんぴょんと……」\n'],,"['スピーカーから、キリギリスの大音量の声が響き渡ります。彼が実況しているように、舞台ではまるで、怪物が女の子を甚振っているようにしか見えないため、観客席からも様子がおかしいことに疑問の声が出始めていました。\n', '\u3000会場に設置されたスピーカーから、大音量で２人の声が響き渡ります。それは、シンデレラが今日のために雇った今夜の舞台を盛り上げてくれる役者、アリとキリギリスでした。\n', '\u3000実況席から、二匹の昆虫の声がスピーカーから鳴り響いてきます。\n']",,,,,,,['\u3000少年は、客室に置いてあった冷蔵庫から、ペットボトルを取り出しました。\n'],,,,['\u3000狩人「あーやっぱり折れた！ 昔からそうなんだよ。騎士団から支給される剣は何でこんなに簡単に折れるんだ！？ ポンコツめ！！」\n'],,,,,['\u3000手鏡『…………メチャクチャ良い寝息立ててますね』\n'],,,,
N6457Cline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000で、最後はなんだ。世界で一番醜い娘と一番美しい若者はその後いったいどうなったんだって。始めに言っただろう？\u3000お約束で終わるハッピーエンドの物語だって。そういうお話は大抵は「めでたしめでたし」で終わるもんなのさ。\n', '\u3000そんなことより話を聞いて行きなよ。この国の人間なら誰もが知ってるおとぎ話。陳腐でお約束なストーリーとご都合主義の展開が続くハッピーエンドの物語だ。\n']",,,,,,,,,,,,,,,,,,,,,,,['\u3000王様から貰った報償金ががっぽりあるので馬でも馬車でも乗り放題なのですが、移動は飽くまで徒歩でするのが若者のポリシーのようです。\n'],,,,,,,,,,,
N9349ENline_info_k,,,,,,,,,,,[' \u3000すると、窓の辺りでカチャカチャとなにやら硬いものを吸いこむ音がした。なにか大事なものを吸いこまれていたら大変だ。'],,,,,,,,,,,,,,,,,,,,"['\u3000学校から帰ってきて玄関を開けたとたん、あまくておいしそうなにおいがした。クッキーだ。お母さんがクッキーを焼いたんだ。', '\u3000学校から帰ってきて玄関を開けたとたん、あまくておいしそうなにおいがした。クッキーだ。お母さんがクッキーを焼いたんだ。', '\u3000ぼくは靴を脱ぎ捨ててキッチンにかけこむと、お皿に山盛りになっているクッキーに手を伸ばした。', '\u3000庭で洗濯物を取りこんでいるお母さんの背中をぼんやり眺めながら、クッキーをサクサク食べる。かみくだく前にホットミルクを口にふくむと、あまさがほろりと広がってすごくおいしい。サクサク。ゴクゴク。パクパク。', '「ほらあ、クッキーを食べすぎなのよ。だから言ったでしょう、おなかいっぱいになるまで食べたらだめよって。まったく、ユウくんは――」', '\u3000これは、クッキー？\u3000いや、ドーナツだ！\u3000お母さんの作るドーナツも最高なんだ！', '\u3000でも、なんだろう。クッキーよりおいしいはずのドーナツはなんだかポソポソしていて味がしなかった。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4085ELline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000コンクリートとはなんだろう。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2607ELline_info_k,,,['\u3000嫗(終なる者)は対神用神術(かみごろしのすべ):愚神礼讃(エラスムス)を展開し、右の腕(かいな)より『空即是色』を放つと、茫漠足る桃色の概念は、そのエントロピーを収束させ質量を持つ物体へと堕(だ)しました。'],,"['「天上天下唯我独尊(オンギャー)！」', '「天上天下唯我独尊(オンギャー)！」']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000そして次の瞬間、ある一箇所に存在しながら同時にあらゆる全ての空間に存在する翁(始たる者)が、第11次元(スーパーストリング)すら斬滅する宝刀・殺神(ニーチェ)を用いて“『茫漠足る桃色の概念』で在ったもの”へ、その凶刃を振り下ろしたのでした。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3427EUline_info_k,,,,,,,,,,,,,,,"['\u3000その小さなお手てに、真っ白なカリフラワーを持って、もぐもぐと食べていらっしゃいます。\n', '「ああ、疲れた……。この体で魔法を使うのはとても疲れるんだ。何せ、私の魔力のほとんどは、チンチラの肉体のままこうして流暢に喋ることができる能力に割り振られているからね。カリフラワーを持って歩くのも辛いくらいさ。お姫様、ちょっと膝を突いてくれないか」\n', '\u3000するとマーチン様は、わたくしのところまでぽてぽて歩いてくると、カリフラワーを横にポイッと置いて、両手をわたくしの膝に乗せるのです。\n', '「チンチラ・チラチラ・カリフラワー！」\n', '\u3000シュネーケからは、もやもやとした黒い塊が吐き出され私に襲いかかる。下からは白い塊が吐き出された。いや、あれは塊じゃない、カリフラワーだ！\n', '\u3000カリフラワーは、私を守るように飛び上がってくると、黒い塊を真っ向から振り払ったのだ。\n', '「わ、私のカリフラワーも凄いんだぞ！」\n', '\u3000マーチン様は猛烈な勢いでカリフラワーを食べると、もぐもぐしながら天を仰ぎました。\n']",,,,,,,,,,,,,,,,,,,,,,,['\u3000ウサギさんなのに、ずっと大きなお馬さんをコントロールするなんて凄いです！\n'],,,,,,,,,,,,,,,,,,,,,,,"['［＃中見出し］２・あるチンチラの登場［＃中見出し終わり］\n', '\u3000彼は……チンチラだったのです！\n', '「ああ、疲れた……。この体で魔法を使うのはとても疲れるんだ。何せ、私の魔力のほとんどは、チンチラの肉体のままこうして流暢に喋ることができる能力に割り振られているからね。カリフラワーを持って歩くのも辛いくらいさ。お姫様、ちょっと膝を突いてくれないか」\n', '\u3000チンチラさんは、高い所に手を乗せてお休みするんですね。\n', '［＃大見出し］丸きもの、汝はチンチラなり［＃大見出し終わり］\n', '「チンチラ・チラチラ・カリフラワー！」\n', '「あ、あ、あぶないところだった。いけないいけない、思わず、ごいがチンチラに……ウォッホン！」\n', '\u3000マーチン様は、チンチラらしき短い手を振り回して演説します。\n', '「おお、済まないピョンスロット！\u3000どうもチンチラの身体では、上手くバランスが取れなくてね。千里眼も調子が思わしくない。例えば……こうだ。君たちの今夜のおかずは、燻製にした魚とニンジンの漬物。どうだい？」\n', '\u3000ウサギさんとチンチラさんがお野菜を比べ合っている間に、わたくしは家に戻り、テーブルを持ってまいりました。\n', '「分かっているさ。だが私は食事となれば、チンチラの野生に身を任せるぞーっ！」\n']",,,,,,,,,,,,,,,,,,,,['「ピョンスロット様がやる気です！\u3000わたくしもなんだか、武者震いして参りました！\u3000じゃあ、ヴィヴィアンさんがおめめパッチリになる夜に決行するのですか？」\n'],,,,,,,,,,,,,,,,,,,,,,,,,"['「素晴らしい、理想的な聞き手の姿勢だ！\u3000いいかい、君たちがこれから向かうべき国は、南の隣国であるシュリンプス王国」\n', '「あら、それは運命的です！\u3000シュリンプスのオマール王子は、わたくしのお婿さんにしようかどうか、お父様が迷っていましたもの。お互い顔も知っています！」\n', '「だろう！\u3000そこは、魔女の手下のチーズの兵隊がうろついてる。これをなんとか切り抜けて欲しい。そして、シュリンプス王国が所有する聖なる鏡を貸してもらうんだ」\n']",,,
N2123EWline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['背後からは10トンクラスのトラック\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0698EJline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000それは、りんごのコンポートでした。鍋にりんごと砂糖水を入れてぐつぐつと煮るだけ。料理をしたことのない王妃様でもすぐに出来たのです。', '\u3000白雪姫はそう言って、りんごのコンポートを魔女に返しました。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4980EMline_info_k,,,,,,,,,,,,,,,,,,,['「……本当に、楽しそうですね。お姫様の仰る通り、こんなガラクタでは無理なようです」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000いつまでも踊り続けることのできるぴかぴかの靴や、永遠という言葉を表した儚い氷のパズル。｜点《とも》すと望んだものを炎の中に見ることができる不思議なマッチ。どれも、王子様の影が最初に持ってきた機械仕掛けの｜小夜啼鳥《ナイチンゲール》に見劣りしない品物ばかりです。\n', '・血潮によって咲いた薔薇→「ナイチンゲールと薔薇の花」\n', '\u3000王子様の影の、黒い掌の上に載っていたのは、ぜんまい仕掛けの小さな｜小夜啼鳥《ナイチンゲール》でした。ねじを巻くときりきりと歯車の音を微かに響かせながら翼を広げ、美しい歌を奏でるのです。目には黒い宝石がはめ込まれ、嘴は細かな彫刻のほどこされた金でできています。小首を傾げて歌う姿は本物の小鳥のようで、でも、決して疲れることなく何度でも同じ調べを正確に繰り返すことができるのです。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7443EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000早速、王子の前で姉二人は件の靴を履いてみせようとしますが、サイズが合いません。それでも無理矢理に足を合わせようとして頑張ります。それはこれまで訪問したどの家でも繰り広げられてきた光景で、ガラスの靴が壊れてしまわないか従者はハラハラドキドキしますが、魔法でできた靴なのでそこは頑丈でした。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0988EQline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000兎は狸を無視して、弓兵達に村外れの一番頑丈そうな土蔵に、狸を閉じ込める様に命じると、見張りを残して、今後の対策を練るべく村長の家に向かった。あらかじめ古文書で下調べをしていた兎には、今や狸の正体がハッキリと解ったのだ。\n'],,,,,,,,,,,,"['\u3000もしくは、当局が物語の意図に気がついて弾圧を加えてくるか……だが、このムー・トゥーランに居場所が無くなれば、南に落ち延び、ハイパーボリアのどこにも居場所が無くなれば、気は進まないが（本当に気が進まないが）、サイクラノーシュに、セラエノに、ヤディス……私はどこまでも逃げ延びて、兎との約束を出来るだけ遂行するつもりだ。\n', '\u3000いつかはハイパーボリアも滅び、また違う種族が、この惑星の地上を支配するのかもしれない。もし、それでも、この物語が記憶され、受け継がれているのならば、同時にこの世のどこかにヴーアミの不浄の血と、“何か”の血が残されているのかもしれないのだ。\n', '\u3000むかしむかし、ハイパーボリアのある所に小さな村があった。\n']",,,,,,,,,,,,,,,,,,,,,,,,
N8228EGline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000リンゴも妹の過激なスキンシップに戸惑っているだけで、本気で嫌がってはいないのだろう。\n'],"['\u3000だとすると、キーパーソンはプラクティカルかエリザベート王女か。\n', '\u3000あの二人は、私にとってのキーパーソンじゃない。\n']",,['\u3000最近、このキーワードを聞くと、厄介事が舞い込んでくるんじゃないかと警戒してしまう。\n'],,"['「メフィくん、クッキー食べる」\n', '\u3000メイドの一人からクッキーをもらって、一口で頬張る。\n']",,,,,,,,,,,"['\u3000ギシッギシッギシッギシッ・・・\n', '\u3000ギシッギシッギシッギシッ・・・\n']",,,,,,,,,,,,,,,,,,,,['\u3000街の裏通り、例えば、スラムにいるチンピラのように見える。\n'],,,['\u3000ツンデレってやつだ。\n'],,,,,,,,['\u3000王族同士の政略結婚に心も何もないだろうけど、ここはハッキリと断らせてもらう。\n'],,,,,,,,,,,,,,,,,,['\u3000将来ブラコンにならないか、ちょっと心配だ。\n'],,"['\u3000それにブービートラップも仕掛けてきた。\n', '\u3000そもそも、あのブービートラップ自体が証拠になりそうな気がする。\n']",,,,,,,,['\u3000どうやら、ポーカーフェイスはあまり得意ではないようだ。\n'],,,,,,,['\u3000完全にワーカーホリックだ。\n'],['\u3000しかし、流通の要である中央を押さえ、周りの国と同盟を結び、各国のパワーバランスを絶妙に保つことにより、各国が牽制し合って攻め込まれないようにしているのだ。\n']
N1854EJline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000サンタさんのお家のうらの花だんには、冬でも咲(さ)くパンジーにビオラ、スノードロップやプリムラといった、色とりどりのお花が植(う)えられていました。'],,,,,,,,,,,['\u3000サンタさんのお家のうらの花だんには、冬でも咲(さ)くパンジーにビオラ、スノードロップやプリムラといった、色とりどりのお花が植(う)えられていました。'],,,,,,,,,,,,,,,
N5504EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000記憶にひっかかっていたものをハッキリ思い出せて、すっきりしたのでしょう。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8201CQline_info_k,['「ククク、ハハハハ、アーハッハッハッ！」\n'],,,,,,,,,,,,,,,,,,,,,,,"['アリとキリギリス\n', 'キリギリス：アンバール\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000王子は目を開きますが、溺れて死に掛けた状態であるため意識はハッキリせず、テナの顔も良く見えてないようです。\n'],,,,,,,,"['\u3000腰まである金色の髪に透き通った肌、整った顔立ちに大きくパッチリとした紅い瞳、すらりとしながらも歳不相応に大きく実った胸。そして、滑らかな尻尾。\n', '\u3000腰まである金色の髪に透き通った肌、整った顔立ちに大きくパッチリとした紅い瞳、すらりとしながらも歳不相応に大きく実った胸。そして、滑らかな尻尾。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5887ELline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000なぜなら、始末したかった人たちが自らのホームグラウンドに入って来てくれたからです。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
