,いじめた,いじめら,いそうだ,いそうら,うかすら,うきこと,うきでか,うきにた,うじゃうじ,うだから,うだよぼ,うところ,うとしな,うとする,うとすれ,うとびく,うはかっ,うはへな,うまけた,うまぼろ,うよばか,うよもそ,うらはら,うらふく,うろぼろ,えんごく,えんじん,えんどろ,おいがた,おいしく,おいとこ,おいまじ,おちかた,おちこん,おちつけ,かすがや,かすこと,かたかん,かたくり,かたしく,かたねと,かたぶく,かたむく,かためら,かちでか,かったっ,かったど,かったら,かってく,かっぷつ,かっぷる,かつくど,からうろ,からきこ,からくら,からくり,からこそ,からこん,からすた,からすべ,からする,からどーん,からのお,からのそ,からはき,からはっ,からふわ,からべと,からぼん,からぽた,からもさ,かりうき,かりがさ,かりがみ,かりきり,かりのし,かーぺん,がくうき,がたかす,がたくさ,がたのし,がちぎり,がちくっ,がつけた,がつけば,がぶつか,がみつけ,がやくた,がらすい,がらすか,がらふつ,がらぽつ,がりのお,がりばか,がんばら,がんばり,きしめた,きしめら,きらめき,きんしっ,きーぱー,きーびし,きーぼー,ぎりばか,くさかっ,くさがく,くしゃぼん,くすから,くすきー,くすくら,くすこと,くたぎり,くだから,くだけた,くっきり,くったっ,くつのし,くらがつ,くらこと,くらすか,くりする,くること,くるでれ,くんする,くんとく,ぐいけば,ぐさめら,ぐつけろ,ぐらうん,ぐるしく,けたかっ,けたこと,げたこと,げたすー,こそすれ,ことから,ことがつ,ことくら,ことぐら,ことこそ,ことさら,ことしな,ことすら,ことだら,ことはた,ことばか,ことばた,こともた,こともや,こりする,ころから,ころがつ,ころこそ,ころすべ,ころのお,ころへと,ころぼそ,こんかす,こんがり,こんくり,こんとろ,ごそうか,ごとしげ,ざわつか,ざわめき,ざーぐー,ざーびー,しおでこ,しくしな,しくする,しこうか,しこころ,しこわい,しっかり,しっくり,しなかっ,しながら,しなくちゃ,しなこと,しゃんぱん,しゃんぷー,しゅんかん,しーがつ,じめにた,じゅーしー,すいとこ,すくりーん,すたさら,すべなみ,すべのし,するから,すること,するなよ,すれがち,すれぐさ,すればき,ずらくん,せかいちゃ,せかけた,たっくさ,たったら,たっぷり,たらしく,たらちっ,たらぶる,だらけた,だらしな,ちかから,ちかづけ,ちょこちょい,ちらしな,つかがや,つかたど,つかめそ,つけてく,つけぶり,つらかっ,つらから,つらきし,つらくさ,つらしと,つらふつ,つんこつん,てかばん,てくりーん,てくるん,でかがや,でこころ,でこちら,でれとろ,とげざら,とこころ,とことん,とろぬく,どかしく,どきしな,どきする,どきふら,どしゃぶり,どたばた,どやめた,どろおど,どんぐり,どんちか,どんぶら,なみのお,にこなみ,にたへた,ぬくもり,ぬめぐり,ねばかた,のおちゃら,のおばか,のおばさ,のおばちゃ,のおもさ,のしかた,のしばし,のそのし,はきづか,はっきり,はっぴー,はらから,ばしする,ばしばか,ばたかす,ばたくた,ばたふら,ばらがみ,ばらしな,ばんぐん,ばんぶつ,ぱっきー,ぱーとん,ひくしお,ひしばか,ひそふら,ひたすら,ひたぶる,ひらから,ひらりひら,びしくっ,びしょびし,びたかっ,びたこと,びーぶる,ぴくしー,ぴちゃぽち,ぴりおど,ぴんとく,ぴーかー,ふかきち,ふかのお,ふかぶか,ふがつら,ふくから,ふさぎこ,ふらさわ,ふわりふわ,ふんころ,ふんどし,ぶつかっ,ぶつかり,ぶつけた,ぶらうん,ぶらりゆら,ぶること,ぶーばん,ぷりがた,ぷりつか,へとちり,べたかっ,べたちょこ,べりずき,ぺっとぼ,ほかにこ,ぼやけた,ぼろしな,ぽかのお,ぽくする,ぽつりとこ,ぽつんぽつ,まちくた,まるくす,まること,まるごと,まるじめ,まるでこ,まるとこ,まるばか,みしがり,むらじと,むんがん,めたかっ,めたから,めたこと,めたつけ,めたばか,めらわな,もおべん,もおゆる,もくのし,もさゆる,もじしな,もそうだ,もぞする,もたくさ,もたのし,もたびた,ゆらりゆら,よたのし,よろしく,りんすた,りんぴっ,りーんちり,わいから,わいくっ,わいこと,わいてく,わいとく,わいぱー,わくする,わなかっ,わんばか,わーすら
N1764CQ,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
N0222EH,,,2.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,3.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,20.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,2.0,,1.0,7.0,,,,1.0,,,,,,,,,,1.0,10.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,9.0,,,1.0,,,1.0,,,,,,,9.0,,,,,,,,,,,,1.0,,,,5.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
N4080EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5560EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8350EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2126BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0028EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7403EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8068EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3633EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
N7484EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
N0841EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N1467ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7394ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4312EH,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,7.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,,,2.0,,,,1.0,5.0,,1.0,,,,,,,,1.0,,,,,,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,3.0,,,1.0,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0
