,あっぷあっぷ,いそいそ,いちゃいちゃ,いらいら,うきうき,うじうじ,うだうだ,うつらうつら,うはうは,うろうろ,うんうん,おいおい,おどおど,おろおろ,かさかさ,かたかた,かちかち,かちゃかちゃ,からから,かりかり,かんかん,がくがく,がたがた,がたんがたん,がちがち,がちゃがちゃ,がつがつ,がばがば,がらがら,がりがり,がんがん,がーがー,きびきび,きょろきょろ,きらきら,きりきり,きんきん,きーきー,ぎざぎざ,ぎしぎし,ぎすぎす,ぎとぎと,ぎゃーぎゃー,ぎりぎり,くしゃくしゃ,くすくす,くすんくすん,くたくた,くちゃくちゃ,くどくど,くにゃくにゃ,くねくね,くらくら,くるくる,ぐいぐい,ぐずぐず,ぐだぐだ,ぐちゃぐちゃ,ぐでんぐでん,ぐらぐら,ぐりぐり,ぐるぐる,けちょんけちょん,けろけろ,げらげら,こそこそ,こつこつ,こてこて,ことこと,ころころ,ごくごく,ごしごし,ごたごた,ごちゃごちゃ,ごてごて,ごりごり,ごろごろ,ごーごー,さくさく,さばさば,さらさら,ざくざく,ざらざら,ざわざわ,しゃぶしゃぶ,しゃりしゃり,しゅるしゅる,しゅんしゅん,しーしー,じめじめ,じゃんじゃん,じゃーんじゃーん,じりじり,じろじろ,じわじわ,じんじん,すかすか,すごすご,すたすた,すぱすぱ,すらすら,するする,すれすれ,すーすー,ずたずた,ずぶずぶ,ずらずら,ずんずん,せかせか,そろそろ,ぞろぞろ,たったっ,たどたど,たらたら,だくだく,だらだら,ちかちか,ちびちび,ちまちま,ちょいちょい,ちょくちょく,ちょこちょこ,ちょぼちょぼ,ちょろちょろ,ちらちら,つやつや,つらつら,つるつる,つんつん,てくてく,でかでか,でぶでぶ,でんでん,とげとげ,とことこ,とぼとぼ,とんとん,どきどき,どさどさ,どたどた,どろどろ,どんどん,どーんどーん,なみなみ,なよなよ,にこにこ,にゃーにゃー,にやにや,ぬくぬく,はきはき,はっはっ,はらはら,ばかばか,ばさばさ,ばしばし,ばしゃばしゃ,ばたばた,ばちばち,ばっさばっさ,ばったばった,ばらばら,ばりばり,ばんばん,ぱかぱか,ぱくぱく,ぱちぱち,ぱらぱら,ぱんぱん,ひしひし,ひそひそ,ひやひや,ひょろひょろ,ひらひら,びくびく,びゅーびゅー,びりびり,びんびん,ぴかぴか,ぴくぴく,ぴょこぴょこ,ぴよぴよ,ぴんぴん,ぴーぴー,ふかふか,ふがふが,ふむふむ,ふらふら,ふわふわ,ふんふん,ふーふー,ぶくぶく,ぶつぶつ,ぶよぶよ,ぶらぶら,ぶるぶる,ぶんぶん,ぶーぶー,ぷるぷる,ぷんぷん,へらへら,べたべた,ぺこぺこ,ぺたぺた,ぺらぺら,ほいほい,ほろほろ,ぼこぼこ,ぼさぼさ,ぼそぼそ,ぼちぼち,ぼりぼり,ぼろぼろ,ぼんぼん,ぼーぼー,ぽかぽか,ぽちぽち,ぽつぽつ,ぽつりぽつり,ぽんぽん,まじまじ,まちまち,まるまる,むくむく,むしゃむしゃ,めちゃめちゃ,もくもく,もじゃもじゃ,もそもそ,もぞもぞ,もたもた,もやもや,もりもり,ゆらゆら,ゆるゆる,よちよち,よぼよぼ,よれよれ,わくわく,わんわん,わーわー
N5084EJline_info_n,,,,,,,,,,,,,,,,,,,,,,['ゆ「だめです、それは聞いてはいけない質問ですよ。私たちの存在意義に関わります((((；゜Д゜))))がくがくぶるぶる 」\n'],,,['\u3000実際、番外編でやっているようなでーた分析では、取得時間はすべて1時間以内で済んでます。そこから解析時間を含んでもせいぜい半日程度ですね。正直なところ、文章や構成を考える時間の方が長いです。がちがちの解析はもっと時間がかかりますが、あのくらいの解析でよければ、結構簡単に行えるのですよ。正直、毎週でもできなくはないですね。やらないけど。\n'],,,,,,['A「んー、もう少し高ぽいんとやらんきんぐ上位関係の解析依頼とかがんがん来ているのかと思ったけどそうでもないんだな」\n'],,,,,,,,,,,,,['Ａ「逆に内容は制限ぎりぎりまで使う人が多いんだな。381-400がすごいことなってるぞ」\n'],,,,,,,,,,,,,,['Ａ「だから掛け声……。で、これは？\u3000なんかぐらふがぐちゃぐちゃしてて汚いけど」\n'],,,,,,,,,,,,,,['ゆ「(つд⊂)ごしごし 」\n'],,,,,,,,,,,,,,,,,,,,,,,['\u3000かなり上位、それほど、なかなか上位、あまり、ほどほど上位、ほぼの基準や実際の計算式は不明ですが、なろうのらんきんぐにはいるけど、それほど有名ではない作品が載ってるようですね。「らんきんぐ上位に載る瞬発力ではなく、持久力でじっくりじわじわと人気を獲得している作品をぴっくあっぷする、という目的のらんきんぐ」だそうです。\n'],,,,,,,,,,,,,,,"['※あくまでも私の感想です。そろそろ大きな変更はないのかな？\n', 'さて、そろそろ本命ですよ！\n', 'Ａ「ま、読者もそろそろ慣れる頃だし」\n', 'A「というかそろそろでーた分析しないと読者が切れるぞ。2000文字使ってるのにまだ1個もでーた分析してないとか」\n', 'ゆ「そうですね、そろそろめんどくさい人たちはぶらうざばっくするころですし、始めますか。というわけでまずは全体からです。どーん」\n']",,,,,,,,,,,,"['ちょこちょこばぐがある。\n', '\u3000『文章を仕事にするなら、まずはぽるの小説を書きなさい』という本もあるので、R18小説には学ぶところも多いのではないかと思う今日この頃。昔はちょこちょこ読んでいたのですが、最近はあまり読んでないから、また読もうかなと思いました。でものくたーん、むーんらいとのべるずとかってえたる人多いからあんまり好きじゃないんだよね。自分が満足したら辞めちゃう人が多いから。あれ？\u3000それはなろうも同じか。みっどないとのべるずはまだ読んだことないから、次はここで読み漁ろうかしら。\n', '\u3000だいたいこんな感じです。1000れすついたすれはあまりないのでそこまで活発に書き込まれているわけではなさそうです。また最近の削除依頼が処理されてないことからも、今は管理人不在のようですね。すぱむもちょこちょこ見かけます。今後はどうなるかわかりませんが。\n', '\u3000一覧には、ちょこちょこらんきんぐで見かける作品も載っていますが、中には知らない作品もあります。作品の傾向は……やっぱり異世界ものが多いですね。どうやって選んでるんでしょうか。\n', 'ゆ「淡々とまじめに書いてても絶対飽きられるので、合間にこういうのを入れておけば、ちょこちょこ見てもらえるかなって思いました。あとなろうでべろっぱーを使ったらどんな事ができるかの例ですね。それを示したかったのです。例があるとやる気がわくでしょ？」\n']",,,['\u3000らんきんぐは以上です。個人的には、はてなぶっくまーく数らんきんぐが面白いですね。ほかのらんきんぐとは異なった作品もちらちら見られます。\n'],,,,,,,,,,,,,,,,,"['ゆ「青いほうが1日当たりの投稿年別の新作投稿数、赤いのが1日当たりの完結年別の完結連載作品を示してます。１日当たりに投稿される新作品と完結作品はどんどん多くなってますね。いまの小説家になろうだと1日当たり400作品が新たに投稿されるようですね。もはや読み切れないですよ。完結でも50作品あるんですよ？」\n', 'A「どんどんえた率上がってんな。でも501作品以上書く人は少ない。逆にすごくない？」\n', 'A「新作と完結数か。うん、どんどん増えてるな」\n', 'ゆ「それもあって、2018年もどんどん増えるんじゃないかなって思います。いまだと1日当たり30～40件が普通になってますからね。昔は10件以下が普通だったんですけどね」\n']",,,,"['\u3000ちなみにWebAPIを公開するかはそのさいとの任意です。すべてのさいとで利用できるわけではありません。WebAPIを公開している有名なさいとだと、Wikipediaがありますね。記事の内容、りんく、かてごりなんかを取得できます。それ以外にも、NHKや国会図書館、気象庁、NTTどこも、YouTube、にこにこ動画、Instragram、Twitterなどなど多くのさいとで利用できます。小説家になろうも公開しています。\n', 'ゆう（以下ゆ）「こんにちは。いつもにこにこあなたのまいぺーじに這いよる本好きの、ゆうです！\u3000今回のすこっぱー番外編は会話調で進めていきます。お相手は友人Ａさんでーす」\n', 'ゆ「どうなんでしょうね。あまりいないのかもしれませんね。にこにこ動画にいた時はいっぱいそういう人いたんですけど」\n']",,['\u3000さて、これを｜自《・》｜分《・》｜の《・》｜作《・》｜品《・》｜名《・》｜や《・》｜名《・》｜前《・》にすれば何がわかるんでしょうね？\u3000（・∀・）にやにや\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000説明文を見ると人気の小説をらんだむに10作品表示していると書かれていますね。ふむふむ人気の作品がらんだむで表示されると、それはありがたいです。きっと、読んでない良作が見つかることだろう。なにせらんだむですから。\n'],,,,,,,,,['ゆ「だめです、それは聞いてはいけない質問ですよ。私たちの存在意義に関わります((((；゜Д゜))))がくがくぶるぶる 」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000ですがでめりっととしては作品の質がまちまち、小説の判断材料がたいとるとじゃんるしかない、更新頻度が高いことが挙げられます。\n', '新着順なので作品の質がまちまち。\n']",,,"['ゆ「むしゃむしゃしてやった、今は反すうしている。」\n', 'ゆ「こたつで本を読みながら食べるお餅っていいよね。むしゃむしゃ」\n']",,,,,,,['\u3000ちょっともやもやも残りますが、『人気きーわーどから探す』のまとめです。\n'],,,,,,,"['((o(^-^)o))わくわく\n', 'あなたは今日読む予定の小説にわくわくしましたか？\n']",,
N0177ESline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000別にこんなんに著作権主張する気とか、さらさらないので、'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ひとまず、私はそろそろいい加減、本業に戻るつもりです。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000どんどん、広めてもらって結構です。拡散希望っ！'],,,,['\u3000根本的な対応としては、にこにこ動画みたいに完全会員制にすりゃ良いんですけどね。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0458EWline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000それで、しばらく新着れびゅー欄と作品のPV欄をにやにやして見ていたら、一つのことに気が付いたんです。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3079CLline_info_n,,,,,,,,,,,,,,,,,,['\u3000すまほをかちゃかちゃと、いじりはじめました。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ちょこちょこぽいんとを水増しします。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4080EIline_info_n,,,,,,,,,,,,,,,,,,,,,,,['ものこっくなんざ30年も経過したらよほどの設計の車でない限りがたがたになってしまうが、こういった点を考慮せず、かつ「ふれーむを交換、修理することで以前の乗り味を復活させられる」という利点もある。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['ぶつけてもないのにぼでぃのどこかが共振して走行中にびりびりびりびりうざったい音が出るようになる。', 'ぶつけてもないのにぼでぃのどこかが共振して走行中にびりびりびりびりうざったい音が出るようになる。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4830EUline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000まあ、組織犯罪処罰法が去年成立した。だから、組織の目的として、在日韓国朝鮮人の虐殺が含まれるなら、組織犯罪処罰法の適応対象になるのだろう。仮に、まじで虐殺計画を練る集団が生まれたら、警察にはばしばし取り締まって貰いたいとは思う。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1031ESline_info_n,,,,,,,,,,,,,,,,,,,,['\u3000授業中にかりかりとのーとに書きました。\n'],,,,,,,,,,,,,,,,,,,,,,,,"['\u3000いや、ぎりぎり『批評は善』の善悪からは離れてないけど、読みやすく整理されてるのか？\n', '\u3000ぎりぎりの消印欲しさに夜間受付可の郵便局を探したあの頃。\n', '\u3000個人さいと時代を知り、十五年以上も前から読み専にいる、にわか新参を名乗ることはぎりぎり許されるねっと小説界の新参者なのです！\n']",,,,,,,,,,,,,,,,['\u3000書きかけを投下してるので、気持ちはぐらぐら揺れて不安定。目に見えるもちべーしょんを求めます。書き終わってから投下しろやい。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000国語の先生？\u3000ばかな。そろそろ受験生だぞ私。勉強の相談ならともかく、おりじなる小説見てもらってどうする、と思いました。\n'],,,,,,,,,,['\u3000ちょいちょい書く前のあいでぃあの相談とかもしてもらってます。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ふむふむ興味深く読んでいましたが……読み進むにつれ、頻出する一つの単語が目に付きました。\n'],,,,,,,,,,,,,,,,,,,,,,,,['\u3000勢いでえっせいを書き始めて投下したはいいものの、ぼちぼち自分でも何を書いているのかわからなくなってきました。\n'],,['\u3000はーい、『Arcadia』などのくそめたにぶった切られても一次小説を連載していたいう方々の存在が説明できませんね。片手落ちのえっせいで大変申し訳なす。いや、もう他にもいろいろぼろぼろこぼしてますけど……すべてを網羅したえっせいを書くなど、にわかには不可能です。\n'],,,,,['\u3000私がぽつぽつとなろう小説の読み専に入ったのが、魔法科高校が書籍化した頃でした。\n'],,,,,,,,,,,,,,,,,,,,,,,
N3649EGline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ずっと同じ時間に投稿するとその時間のおなじみの顔になってしまい、新規流入がどんどんと減ります（経験済み）。私は日中仕事なので、自動投稿するぷろぐらむを作って、午前中で適当に時間を変えて投稿するようにしています。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7093EUline_info_n,,,,,,,,,,,,,,,,['\u3000かたかたときーぼーどを打ちながら、推敲を執念深く続けていく。『俺と柊は』という箇所を読み上げて、『柊と俺は』の方が良いな、など、細かな文章の前後の入れ替えまで、入念に。\n'],,,,,,,,,,,,,['\u3000１９時だったが、店内はがらがらだった。\n'],,,,,,,,,,,,,,,"['\u3000凄まじいかっと量である。しかも、今回は他の賞のために文字数ぎりぎりを狙っていたから、すりむ化したところからのさらにかっとというとになる。各種まいなーちぇんじを行いながら、大胆に削っていくことが要求されるだろう。\n', '\u3000それが良いことなのか悪いことなのかはわからないが、出版事情の裏話を限りなくぎりぎりまで、詳細に描いた作品にはなったと思っている。\n', '\u3000以前の作品、「あなたの未練、お聴きします」は、〆切りぎりぎりまで引っ張った結果、誤植が多く生まれる結果となってしまった。\n', '\u3000間に合った！\u3000……次こそ、〆切りぎりぎりにならないように気をつけよう！\n']",['「明智の方はこれってものはないんですけど、とりあえず髪がくしゃくしゃで、老けすぎずかといって若々しくない。しっかり身だしなみを整えれば結構かっこいい大人、でした。基本はすーつ」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000やはり因果応報なのである。このことで、私の発言に気を悪くした人が、あまぞんれびゅーに、「この人のＴｗｉｔｔｅｒは見てはいけない」というたいとるで★１をつけてきた。もちろん、身に覚えもない悪意のある文は多く書かれてあるのだが、心当たりがないと言えば嘘になることが、ずらずらと書かれていた。そのうえで、前文に「作品は良かったが、Ｔｗｉｔｔｅｒが……」と前置きされて★１である。これは堪えた。\n'],,,"['\u3000このえっせいも、そろそろ終わりを迎えようと思う。\n', '\u3000書籍化作家として一冊目を出して、二冊目。そろそろ私も「小説家」と名乗っても悪くないのかも知れない。そんな思いから、今度は「初めての書籍化体験」「書籍化作家」という見解を離れ、「小説家」として雑多なことを多く綴った。\n']",,,,,,['\u3000「私もなかなかやるな……！」などと悦に浸っていたわけではなく、冷や汗だらだらである。\n'],,,,,,['\u3000編集Sさんから貰った『改稿案』はわずかA４二枚の、ちょこちょこっとしたあどばいすである。\n'],,,,,,,,,,,,,,,['\u3000そこからは、とんとん拍子に、いらすとれーたーは決定した。\n'],,,,,"['\u3000はじめに、『２冊目を出すなんて簡単』という意見はひっくり返してもらうつもりだ、と書いたが、確かに書籍化作家というのは、一冊出すと、次作をどんどん量産していくいめーじが強い。\n', '\u3000そもそも、書店自体がどんどん潰れていっている。\n', '\u3000さらには、完成に役立ちそうなぴーすも打ち合わせ中にどんどんと膨らんでくる。\n']",,,,,,,,,,,,,,,,,,,,['\u3000いじめについては、現在の高校生には少ないと聞いていたが、「すくーるかーすと」も無くなっている？\u3000私が高校生の時は、両者ともばりばりにあって、社会問題にすらなっていた。\n'],,,,,,,,,,,,,,,,,,,,,,,,"['「ふむふむ！\u3000柊は？」\n', '「ふむふむ、要潤ですか。なるほどねぇ……。女の子の方は……なるほど。そうですよね、何か柊って、制服っていめーじじゃないんです。この子みたいな、だぼっとした部屋着のいめーじですね」\n']",,['\u3000書くことが楽しい――そんなことを意識するまもなく、ただ、ふわふわしたような、それでいて気合いが載ったような、心地よい高揚感に包まれながら、きーぼーどを叩く。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000作品名をＴｗｉｔｔｅｒに入れてぽちぽち。\n', '\u3000作家名をＴｗｉｔｔｅｒに入れてぽちぽち。\n']",['\u3000しかし、定期連絡はぽつぽつあるものの、肝心のＧＯさいんはなかなか出ない。\n'],,,,,,,,,,,,,,,,,"['\u3000きゃらくたーしーとに設定と性格、好みや外見等の詳細を描き込んだ後、要潤の顔写真画像と望月杏奈の浴衣姿とゆるゆるの部屋着の画像ふぁいるをだうんろーどし、きゃらくたーしーとに貼り付けた。\n', '\u3000そうではなく、今回出版にいたり、そこで経験したことを軸に、作家になって（やはり「作家になった」、などはおこがましい限りだが）体験したことをゆるゆるとしたてんしょんで書き綴っていこうと思う。前回がどらまなら、今回は日記だ。\n']",,,,,,
N3620CPline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['さくさく進めたいので次行きます。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['なにかもやもやと心にくるものがありました。理不尽で身勝手だな〜と感じましたし、僕の作品じゃないのに自分が非難されているような気分でした。辛かったです。'],,,,,,,,,
N7779EPline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['自分は規則内ぎりぎりに留まり。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2277CTline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ぷろ作家の方々もどんどんとなろうに流入してくる昨今、'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6092EVline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['まじ、にこにこぷんぷん丸です。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['まじ、にこにこぷんぷん丸です。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7805ERline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['漫画村で無料で漫画を読んでいた連中はぶーぶー言ってるようだけど、実際は取り締まるのが難しいとは言えほぼ違法だったわけで読んでいた人たちにはまいにんぐされて寿命が短くなったぱそこんなどが残っただけだろうね。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2056ECline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['そう想像したら、何かを指摘する時も相手がなるべく傷付かないように言葉を選ぶ。読んでいて感動した、というような良い感想はどんどん言葉を連ねようと思う。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['楽しい話、悲しい話、わくわくする話、夢中で読ませていただいた話がたくさんあります。'],,
N3753EPline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['でもこんさるたんと（笑）なんかはそういうのを軽視するから、「こすとだうんのためにこんさるたんとを入れます」とかやっていくとどんどん泥沼にはまっていくわけ。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7056EMline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000また、場合によっては数十年お金を預けることになるため、軽視できないのがいんふれです。掛金を運用してくれているので多少のいんふれは吸収してくれるはずですが、今後数十年でがんがんいんふれしていくことになれば目減りは避けられないと思います。ただまあそれを言えば定期預金だって（以下略）\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000実は｜専業作家《ふりーらんす》の立場にあるにもかかわらず、確定申告をやっていないという方の話をちょいちょい聞きます。理由は様々です、ぶっちゃけ面倒だから、あるいは制度をよく知らない、あるいは自分がやるべき立場にあることを知らない等々。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000納付するたいみんぐがばらばらだからです。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5092BYline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['とりがーがーど （用心金）\n'],,,['\u3000だるふぃにっしゅ、まっとふぃにっしゅは金属特有のきらきらした光沢を消す、いわゆる艶消し加工のことです。\n'],,,,,,,,,['\u3000ややこしいのですが、水面ぎりぎりで撃ったり、地上から水中に向けて撃ったりとでまた弾の飛び方が変わってきます。\n'],,,,,,,,,,,,,,,,,,['さらに銃弾との接触状況などによっては、表皮の剥脱や皮膚を溝状に抉る擦過銃創、掠っただけだ的なものがこれにあたり、頭部に着弾したことによって頭骨内で銃弾が旋回してできた回旋銃創、頭の中をぐるぐる回る感じの稀にあるやつや、跳弾によって出来た傷である跳弾銃創、遮蔽物を通り抜け着弾する間接銃創など着弾時の状況によって呼称が変わるものもあります。\n'],,,,,,,,,,,,,"['\u3000先ほどの話にも出ましたが、あまりにも不必要にごてごて乗せるのは外見はかっこよくなるかもしれませんがあまり実用的ではありません。\n', '\u3000もしくは、ごてごてに装備つけるのが好きな人で、おぷしょんぱーつを買い漁ってそれを一つの銃に付けるのを趣味としている人もいるかもしれません。おふざけ込みで。\n']",,,,,,['\u3000ざらざらと言っても、そんなに擦って指が痛くなるほどではなくて、ちょっと指で触るとさらさらした感触をほのかに感じるくらいですかね。\n'],,"['\u3000表面をざらざらした感じにして滑りにくくし、艶消しのように光を反射しないようにする処理です。\n', '\u3000ざらざらと言っても、そんなに擦って指が痛くなるほどではなくて、ちょっと指で触るとさらさらした感触をほのかに感じるくらいですかね。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ぶれざーとか着てすかーとひらひらさせながら銃を撃ち合う女の子とかすっごく可愛いじゃないですか。\n'],,,,,['\u3000そんな感じで、やっべぇかっこいいこれにしよう！なんて銀色ぴかぴかの銃を買っちゃう人だっているかもしれません。\n'],,,,,,,,,['\u3000せいふてぃえりあなんかは人が多いですから、的にちゃんと当てれたぜーなんて自慢してて注意散漫になり銃口をふらふらさせてしまっては大変です。しかも撃った後だと安全装置かけてたり装填されていないかどうかも微妙なところですからね。\n'],,,,,,,,,,,,,,,,,,['\u3000詳しい安全管理の話は別に記事で書きますが、基本的に撃ってはいけないものや人に銃口をほいほいと向けていいものではありません。もちろん弾が装填されていなかろうとです。\n'],,,,,,,,,,,,,,['\u3000何も調べないままこの銃が好きだからとぽんぽん出して書きつづけてしまうと、思わぬところで失敗してしまうかもしれません。\n'],,,,,,,,,,,,,,,,,,,,,
