,いちゃいちゃべたべた,いちゃいちゃぺろぺろ,うきうきるんるん,うきうきわくわく,うじうじごちゃごちゃ,うじゃうじゃぞろぞろ,うねうねもじもじ,うろうろきょろきょろ,うろうろぐるぐる,うろうろそわそわ,うろうろふらふら,がくがくぶるぶる,がつがつもぐもぐ,がりがりごりごり,がりがりばりばり,きゃーきゃーぎゃーぎゃー,ぎちぎちみしみし,くんくんぺろぺろ,ぐだぐだごろごろ,ぐちゃぐちゃばらばら,ぐるぐるびゅんびゅん,こそこそきょろきょろ,こそこそにやにや,さらさらつやつや,すべすべぷるぷる,そろそろるんるん,そわそわうろうろ,そわそわもじもじ,ちらちらぱたぱた,つやつやさらさら,つやつやてかてか,つるつるぴかぴか,どきどきわくわく,どんどんうきうき,どんどんがんがん,どんどんばんばん,どんどんぱらぱら,どんどんぶかぶか,にこにこきらきら,にやにやにたにた,にゅるにゅるびりびり,ぬめぬめぺたぺた,ぬるぬるてらてら,はらはらどきどき,ばっさばっさばさばさ,ばらばらがたがた,ばらばらどろどろ,ばりばりもしゃもしゃ,ばんばんびゅんびゅん,ひそひそかたかた,ひらひらくるくる,びくびくおどおど,びくびくぶるぶる,ぴかぴかつやつや,ぴょんぴょんぶらぶら,ふかふかふさふさ,ふわふわぽかぽか,ぶんぶんぐるぐる,ぷるぷるつやつや,ぽんぽんさわさわ,むしゃむしゃぱりぱり,もじゃもじゃちくちく,ゆるゆるでれでれ,わいわいがやがや,わくわくどきどき
N4706CPmid,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,
N7030EDmid,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3939EKmid,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
N2785CFmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,
N5194EQmid,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
N1753CZmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
N9982DImid,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0601EImid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3626CSmid,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,
N7314BZmid,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
N1181ESmid,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
N0491DBmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
