,アップビー,アップモジ,アプサラ,アーカー,アークサ,アークス,アースク,アースベ,アースラ,アーチー,アーツー,アーバン,アーヒー,アービシ,アーブラ,アーベラ,アーベン,アーボー,アーユル,イジスタ,イラクサ,イラクラ,イラゲー,イラチー,ウキキー,ウジャウジ,ウズソワ,ウトコロ,ウトユル,ウラガラ,ウラスル,ウロチョロ,ウロボロ,ウンゲー,ウンタラ,ウンドシ,ウンドス,ウンドボ,ウンメエ,エンカー,エングラ,エンゲロ,エンゲー,エンジン,エンドロ,エンネト,エンハー,エンペラ,オイバカ,オドドカ,オメガリ,オンクリ,オンボロ,カスガン,カスツー,カスパー,カスマジ,カタカッ,カタコト,カタコン,カタフラ,カチカス,カチコチ,カチャカチ,カチンコチ,カッカー,カックリ,カックン,カッチョイ,カッチリ,カッチー,カッパー,カップリ,カップル,カッポカ,カラカッ,カラカラン,カラカン,カラクリ,カラクル,カラコロ,カラブリ,カラリン,カランカラ,カランコロン,カリオン,カリコリ,カリズラ,カリブル,カリホク,カンカー,カンゲー,カンダク,カンテラ,カンデブ,カンドカ,カンバン,カンパー,カンピン,カンフー,カンプン,カンポカ,カーカッ,カークラ,カーシー,カーバン,カービン,カーペッ,カーボン,カーボー,カーンカー,ガクブル,ガサゴソ,ガタゴソ,ガタゴト,ガタタッ,ガタンゴトン,ガタンドタ,ガチマジ,ガチャガチ,ガラガラン,ガラクタ,ガラバン,ガランガラ,ガリアー,ガリチビ,ガンオイ,ガンオン,ガングラ,ガントロ,ガンドー,ガンピー,ガーデン,ガードキ,ガードス,ガーハッ,ガービー,ガーブリ,ガープラ,キシブル,キャッスル,キャッチー,キャーワイ,キューパー,キューピッ,キョロスタ,キラゴテ,キラビー,キラリン,キリパキ,キングサ,キングス,キングタ,キングラ,キングリ,キンシッ,キンシャキ,キンスタ,キンスー,キンドー,キンハー,キースー,キーチー,キーパー,キーピッ,キーピラ,キーボト,キーボー,キーワー,ギザハー,ギャースカ,ギリキリ,ギーパッ,クサカリ,クサビシ,クスアー,クスカリ,クスキー,クスクラ,クスクリ,クスジュー,クストン,クスハー,クスパン,クスヒー,クスブル,クスポー,クタクル,クダウン,クッキリ,クッキン,クッキー,クッゴク,クッチャカ,クッテク,クッビク,クラウト,クラスク,クラスタ,クラスパ,クラタッ,クリアー,クリコクリ,クリザー,クリスゴ,クリスタ,クリフー,クルガー,クルスラ,クルスー,クルトン,クルパー,クルピラ,クルベン,クンガク,クントク,クンドク,クンビク,クークル,クースク,クーデレ,クーデン,グイベン,グスカー,グスガー,グラウン,グラゴロ,グラスク,グラスパ,グラプス,グリモグ,グルングル,グングー,グーガン,グーシー,グースカ,グータラ,グーパン,グーパー,グーペコ,ゲームク,コソカサ,コチョコチ,コッカー,コットン,コッポリ,コツンコツ,コテンパン,コトノタ,コリゴリ,コリペコ,コロドサ,コンオイ,コンガリ,コンクリ,コングラ,コンゴト,コンゴー,コンサラ,コンシュー,コンスタ,コンチク,コンデン,コントロ,コンパク,コンパチ,コンピュー,コンブー,コンプラ,コンプリ,コンポー,ゴチャゴチ,ゴロギシ,ゴーガン,ゴークド,ゴーグル,ゴージン,ゴードン,ゴープス,ゴーンゴー,サククッ,サクチョコ,サラギコ,サワワー,ザクキン,ザックザク,ザブトン,ザワハー,ザーアー,ザーガン,ザーコン,ザースタ,ザースー,ザードキ,ザードタ,ザービー,ザーブー,ザーワー,シオカラ,シオドシ,シッカリ,シックス,シックタ,シックド,シックリ,シッドス,シッビシ,シナジー,シナプス,シャンバラ,シャンパン,シャンビュー,シャンプー,シャーキシ,シャースラ,シュンバシ,シュークリ,シーカー,シーガー,シーザー,シースル,シーズン,シーフニャ,シーフー,シーリン,ジクスタ,ジメカッ,ジャンキー,ジャングル,ジャントン,ジャンピン,ジャンボチ,ジャーキー,ジャーンジャー,ジューシー,ジリスク,ジンガー,ジンクス,ジンジャー,ジンリン,ジークリ,ジークー,ジーグリ,ジーゲー,ジーヒー,スイベン,スカイラ,スカウト,スカウン,スクドー,スクリーン,スクワー,スゴブリ,スタエン,スタシー,スタリン,スッパスパ,スパイラ,スパスタ,スパワー,スラカッ,スラグリ,スラジャン,スラスタ,スラデカ,スラドー,スラビー,スラブラ,スラブル,スラメタ,スラリン,スルバン,スレチッ,スーツケ,スーパラ,スーパー,スープカ,ズシンズシ,ズタボロ,ズングリ,ズンブル,ゼーハー,ソロリコン,ソロリソロ,ソワワク,ゾクハッ,タッカタ,タッカー,タックル,タッタラ,タッチャブ,タップリ,タッポタ,タラクス,タラスク,チカチッ,チッカチ,チッバチ,チップス,チビデブ,チビリチビ,チビリン,チャラブラ,チャリグチャ,チャリンチャリ,チューシュー,チョコチッ,チョコチョイ,チョンケチョン,チョンピチ,チリジリ,チリジー,チリパチ,チリリン,チリンチリ,チンクラ,チングス,チンゲー,チンタラ,チンチクリ,チンチリン,チンバチ,チンパチ,チンパン,チンピラ,チンプン,チンワー,チートク,ツヤサラ,ツルピカ,ツルペタ,ツルワサ,ツンカツ,ツンデレ,ツーカー,ツートン,ツーピー,テクノロ,テラパー,デカブツ,デカワン,デコピン,デコボコ,デンクル,デンゴー,デンジャー,デンドーン,デンハー,デンビー,デンプン,デンベン,デンポー,トクエン,トコトン,トボアー,トボクサ,トロブス,トロベリ,トンカチ,トンカツ,トンガリ,トンガー,トンズラ,トンタッ,トンチン,トンドン,トンピン,ドカウン,ドカカッ,ドカスカ,ドキワク,ドサクサ,ドシンドシ,ドスンドス,ドタックル,ドタドタッ,ドタバタ,ドタバッタ,ドロエン,ドロオド,ドログツ,ドロシー,ドンガラ,ドングリ,ドンゴロ,ドンパチ,ドンピカ,ドンピシ,ドースラ,ドーピン,ヌメネチ,ノソリノソ,ノタウロ,ハッキリ,ハッキン,ハッスル,ハッハー,ハッピー,ハラペコ,ハークス,ハーゼー,ハードボ,ハーハッ,ハーピー,ハーフサ,ハープー,バカスカ,バカチビ,バカチン,バカデカ,バカドン,バカドー,バカハー,バキボキ,バキボシャ,バサリバサ,バシャバシ,バタフラ,バチコン,バチャバチ,バッタンバッタ,バライソ,バラクラ,バラバタ,バラベチャ,バリアー,バリカン,バリスタ,バリトン,バリボリ,バンカー,バンキン,バンザー,バンシー,バンジー,バンスタ,バンドカ,バンバカ,バンビー,バンブー,パカポコ,パシャパシ,パタタッ,パタパタン,パチクリ,パッカリ,パッカン,パッキリ,パッキン,パックタ,パックリ,パックン,パッチリ,パッチン,パッツン,パッパカ,パッパラ,パッパン,パライソ,パラシュー,パラドン,パリポリ,パンチラ,パンチン,パンツル,パンパカ,パーカー,パークス,パーチク,パートン,パードン,パーパン,パープル,ヒュースー,ヒョロガリ,ヒーカッ,ヒーリン,ビクウネ,ビシバシ,ビシパン,ビショビシ,ビューアー,ビラヌケ,ビングダ,ビングル,ビーカー,ビーガー,ビーコン,ビーチチ,ビートン,ビードー,ビーブル,ビーボー,ピカゴテ,ピクシー,ピチチチ,ピチャピチ,ピッキン,ピッチリ,ピッドシ,ピッピー,ピューピュッ,ピリオド,ピンキリ,ピンボー,ピンポイ,ピンポー,ピーカー,ピーキャッ,ピーキー,ピーチク,ピードス,ピードタ,ピードー,ピーヒョロ,ピーポー,フラメリ,フラユラ,フラヨロ,フラワー,フンドシ,フーゾク,ブスワー,ブツクサ,ブラウン,ブラガン,ブラクネ,ブラコン,ブラザー,ブラシャー,ブラジャー,ブラスタ,ブラヒリ,ブラボー,ブリザー,ブリトン,ブルアップ,ブルグン,ブルコン,ブルスカ,ブルスタ,ブルドー,ブルパリ,ブルパン,ブルピン,ブルピー,ブルプリ,ブルボン,ブルルン,ブルワン,ブルンブル,ブンカッ,ブングラ,ブンプラ,ブースタ,ブードー,ブービー,ブーメラ,ブーンブー,プスピー,プチプラ,プラカー,プラシー,プリガン,プリコッ,プリズン,プリムラ,プルジュー,プルパリ,プルブル,プルプリ,プルモジ,プルンプル,プンスカ,プンテラ,プンワー,ベロンベロ,ベンジャー,ペチャクチャ,ペットボ,ペッパー,ペングイ,ペンジン,ホクサク,ホロウマ,ホログラ,ボキバキ,ボトドスン,ボロウラ,ボロカス,ボンキュッ,ボンクラ,ボンビー,ボンボー,ボードン,ボーフラ,ポイズン,ポキパキ,ポコスカ,ポタリポタ,ポツリポツ,ポリシー,ポロリポロ,ポンコツ,ポンブー,ポンポコ,ポーカー,ポージン,ポーズシ,ポードロ,マザコン,マジカッ,マジシャン,マルエン,マルクル,マルグリ,マルグル,マルスラ,マルゼー,マルチロ,マルブラ,マルベリ,マルボロ,ムシャクシャ,ムズアップ,ムライチャ,ムンガン,ムンクル,メタトロ,メタボリ,メチャウマ,メチャクチャ,メリカス,モサクラ,モジャモジ,モタツカ,モリツン,ヨロシク,リンアー,リンガー,リンキリ,リンキン,リンクス,リンクラ,リングス,リングタ,リングー,リンゴー,リンシャー,リンシュー,リンスラ,リンスレ,リンチー,リンデン,リントロ,リンドブ,リンピッ,リンマジ,リーンカー,リーンゴーン,リーンスラ,ルンブル,ワイガヤ,ワイザラ,ワイデン,ワイトボ,ワクチン,ワクテカ,ワクドキ,ワンクッ,ワンコロ,ワンシー,ワンタッ,ワンツー,ワンパク,ワンパタ,ワンパン,ワンピー,ワンブワ,ワンポイ,ワーアップ,ワーカー,ワーキャッ,ワーキャー,ワークス,ワークド,ワークラ,ワーゲー,ワーシー,ワーズボ,ワードス,ワードロ,ワードー,ワーバカ,ワーバラ,ワーポー
N7638EQkata,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7146EGkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
N7928DTkata,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,18.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
N9107EEkata,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,
N4602ESkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,
N5712DRkata,,,,,12.0,,,,,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1784EEkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
N6041EVkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
N9170DMkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,1.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
N3722EVkata,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2563EKkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
