,いじめた,いじめら,いそうだ,いそうら,うかすら,うきこと,うきでか,うきにた,うじゃうじ,うだから,うだよぼ,うところ,うとしな,うとする,うとすれ,うとびく,うはかっ,うはへな,うまけた,うまぼろ,うよばか,うよもそ,うらはら,うらふく,うろぼろ,えんごく,えんじん,えんどろ,おいがた,おいしく,おいとこ,おいまじ,おちかた,おちこん,おちつけ,かすがや,かすこと,かたかん,かたくり,かたしく,かたねと,かたぶく,かたむく,かためら,かちでか,かったっ,かったど,かったら,かってく,かっぷつ,かっぷる,かつくど,からうろ,からきこ,からくら,からくり,からこそ,からこん,からすた,からすべ,からする,からどーん,からのお,からのそ,からはき,からはっ,からふわ,からべと,からぼん,からぽた,からもさ,かりうき,かりがさ,かりがみ,かりきり,かりのし,かーぺん,がくうき,がたかす,がたくさ,がたのし,がちぎり,がちくっ,がつけた,がつけば,がぶつか,がみつけ,がやくた,がらすい,がらすか,がらふつ,がらぽつん,がりのお,がりばか,がんばら,がんばり,きしめた,きしめら,きらめき,きんしっ,きーぱー,きーびし,きーぼー,ぎりばか,くさかっ,くさがく,くしゃぼん,くすから,くすきー,くすくら,くすこと,くたぎり,くだから,くだけた,くっきり,くったっ,くつのし,くらがつ,くらこと,くらすか,くりする,くること,くるでれ,くんする,くんとく,ぐいけば,ぐさめら,ぐつけろ,ぐらうん,ぐるしく,けたかっ,けたこと,げたこと,げたすー,こそすれ,ことから,ことがつ,ことくら,ことぐら,ことこそ,ことさら,ことしな,ことすら,ことだら,ことはた,ことばか,ことばた,こともた,こともや,こりする,ころから,ころがつ,ころこそ,ころすべ,ころのお,ころへと,ころぼそ,こんかす,こんがり,こんくり,こんとろ,ごそうか,ごとしげ,ざわつか,ざわめき,ざーぐー,ざーびー,しおでこ,しくしな,しくする,しこうか,しこころ,しこわい,しっかり,しっくり,しなかっ,しながら,しなくちゃ,しなこと,しゃんぱん,しゃんぷー,しゅんかん,しーがつ,じめにた,じゅーしー,すいとこ,すくりーん,すたさら,すべなみ,すべのし,するから,すること,するなよ,すれがち,すれぐさ,すればき,ずらくん,せかいちゃ,せかけた,たっくさ,たったら,たっぷり,たらしく,たらちっ,たらぶる,だらけた,だらしな,ちかから,ちかづけ,ちょこちょい,ちらしな,つかがや,つかたど,つかめそ,つけてく,つけぶり,つらかっ,つらから,つらきし,つらくさ,つらしと,つらふつ,つんこつん,てかばん,てくりーん,てくるん,でかがや,でこころ,でこちら,でれとろ,とげざら,とこころ,とことん,とろぬく,どかしく,どきしな,どきする,どきふら,どしゃぶり,どたばた,どやめた,どろおど,どんぐり,どんちか,どんぶら,なみのお,にこなみ,にたへた,ぬくもり,ぬめぐり,ねばかた,のおちゃら,のおばか,のおばさ,のおばち,のおもさ,のしかた,のしばし,のそのし,はきづか,はっきり,はっぴー,はらから,ばしする,ばしばか,ばたかす,ばたくた,ばたふら,ばらがみ,ばらしな,ばんぐん,ばんぶつ,ぱっきー,ぱーとん,ひくしお,ひしばか,ひそふら,ひたすら,ひたぶる,ひらから,ひらりひら,びしくっ,びしょびし,びたかっ,びたこと,びーぶる,ぴくしー,ぴちゃぽちゃ,ぴりおど,ぴんとく,ぴーかー,ふかきち,ふかのお,ふかぶか,ふがつら,ふくから,ふさぎこ,ふらさわ,ふわりふわ,ふんころ,ふんどし,ぶつかっ,ぶつかり,ぶつけた,ぶらうん,ぶらりゆら,ぶること,ぶーばん,ぷりがた,ぷりつか,へとちり,べたかっ,べたちょこ,べりずき,ぺっとぼ,ほかにこ,ぼやけた,ぼろしな,ぽかのお,ぽくする,ぽつりとこ,ぽつんぽつ,まちくた,まるくす,まること,まるごと,まるじめ,まるでこ,まるとこ,まるばか,みしがり,むらじと,むんがん,めたかっ,めたから,めたこと,めたつけ,めたばか,めらわな,もおべん,もおゆる,もくのし,もさゆる,もじしな,もそうだ,もぞする,もたくさ,もたのし,もたびた,ゆらりゆら,よたのし,よろしく,りんすた,りんぴっ,りーんちり,わいから,わいくっ,わいこと,わいてく,わいとく,わいぱー,わくする,わなかっ,わんばか,わーすら
N7884EIline_info,,,,,,,,,,,,['お直ししたらもっと良くなるというところを教えてくださったら嬉しいです。\n'],,['暴言と叩くことで諦めさせようとする\n'],,['次は何を言われるんだろうとびくびくしているのを知っていますか？\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['私が担当じゃなかったら……と思う事もある。\n'],['多くは望んでいない里帆ちゃんの気持ちをどうしてわかってくれないのだろう。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['きらきらときらめき\u3000輝き光り続ける\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['美帆ちゃんは、しっかりもののお姉ちゃん。天真爛漫で泣き虫な里帆ちゃん。\n', '真っ直ぐただ前だけを向いてしっかり進む\n', 'しっかりと引き継ぎ\u3000任される\n']",,,['会話しながら\u3000顔色を診る\n'],,,,,,,,,,,,,,,['遂に応用臨地実習まで辿り着き、ふたつめの実習を終了することができた\n'],,,,,,,,,,,"['［＃中見出し］あなたらしく［＃中見出し終わり］\n', 'あなたは あなたらしくそのままで\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['どきどきしながら何度目かの病院実習\n'],,,,,,,,,,,,,,,,,,,,,['元気のちゃーじのしかた\n'],,,,,,,,,,['白衣の赤ちゃん天使は「看護の世界」へ羽ばたくため\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「あなたもあの一員になるのよ」とぽつりとこぼす\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['初心者勉強中なので、よろしくお願いします。\n'],,,,,,,,,,,,,
N1250EGline_info,,,,,,,,,,,,,['\u30000pの亡骸は沢山あるが、探そうとしないと、見つからない。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u30000pだからこそ、なろうではまだうけない、見られない、素晴らしい景色との出会いが、いっぱいあるから。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000はっきり見えるが届くことはほとんどない。'],,,,,,,,,,,,,,,,,['\u3000よじ登ろうと書く人、周りに目もくれずにひたすら書く人、絶壁やおあしすを見てぼーとする人。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7403EUline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['この日がなかったら今はなかったもの\n'],,,,,['目からうろこが落ちた気がした\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['鼻と鼻がぶつかった\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4080EKline_info,,,,,,,,,,,,,,,,,,,,,,,['満ちる心とうらはらに\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['誰もいないぐらうんど\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['それは祭りのざわめきのせい\n'],,,,,,,,,,,['すれ違いもしなかった\n'],['まるで蛇行しながら流れる川のよう\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3959EUline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['よかったらご一緒に\n'],,,,,,,,,['見えないからこそ見える魔法\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['気がつけば｜泡沫《うたかた》の夢\n'],,,,,"['ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n', 'ふろんとがらすから見えるらいと\n']",,,['雨上がりのおぼろ月\n'],,,,,,,,,,,,,,,,['無くすきー  ぼんやりと叩くぽけっと\n'],,,,,,,,,,,,,,,,,,['私の心は掻き乱されては、夜露になぐさめられていく\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['星屑が闇を溶かしながら、ちいさく瞬く\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ごろり寝てつかめそうな息と星\n'],,,,,,,,,,,,,,,['\u3000つぶらな瞳でこちらを見てる\n'],,,,,,,,,,,,,,,,,,,,['そっと繋いだ\u3000連れ合いの手のぬくもり\n'],,,,,,,,,,,,,,['先を歩いた｜同胞《はらから》が\n'],,,,,,,,,,,,,,,,,,['水盆にひらりひらひら紅葉舞う\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,['［＃中見出し］ぶーばんさまと夏歌［＃中見出し終わり］\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['涙を拭うのはわいぱー\n'],,,,
N6526EQline_info,,,,,,,,,,,,,,['手を振りながら去ろうとする君の'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['どたばたと走っていた君は'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['まるでこだまのように繰り返す'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5258EGline_info,,,,,,,,,,,,,,,,,,,,['わたしというまぼろしに'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2835EYline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000そんな客らに感謝をしながら、画材の不足を棚に上げつつ、これからも俺は描くだろう。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4312EHline_info,,,,,,,,,,['・あの映画では昼の姿の鹿が草木を一瞬で枯らせたりしていたけれども、こっちはそれぞれの姿で役割を分けておきたい。混乱しそうだからっていうのもあるけれど、常に二つの属性の能力を使えるとしたら強すぎる気がして…。早い話がぱわー調整ですな。\n'],,,,"['・どうにも、詠唱の最後を「消える」で締めようとする傾向にある。\n', '・ただ美味しい料理を望むなら普通の魔法だけれど、「ほっぺ落ちるまで」を実際に実現させようとすると……恐ろしい魔法になる。\n']",,,,,,,,,,,['・中二病患者は、「無限」という言葉に弱い。うろぼろすとかめびうすとか…。\n'],['\u3000求めるは、｜炎獄《えんごく》。\n'],['\u3000｜膨《ふく》れ上がる｜円陣《えんじん》、\n'],,,"['\u3000おいしくなぁれ、おいしくなぁれ、\n', '\u3000おいしくなぁれ、おいしくなぁれ、\n', '\u3000ほっぺ落ちるまで、おいしくなぁれ。\n', '\u3000おいしくなぁれ、おいしくなぁれ、\n', '\u3000おいしくなぁれ、おいしくなぁれ、\n', '\u3000ほっぺ落ちるまで、おいしくなぁれ。\n', '・「おいしくなぁれ」は、呼びかけ。\n']",,['・悠木碧さんの声、好きです（おいまじかよ、「悠木碧」って一発変換出来たぞ……）。\n'],,,,,['傷つかない→機巧少女→機械→電気で動く→制御を奪われる→電気操縦\u3000※操縦→他人を思い通りに動かすこと\n'],,,,,,,,,,,,,,,,,,['・一～二行目は、最初っからくらいまっくす。不死鳥という言葉は、そのまま使うよりも想像で思い浮かぶようにしてみた。「～した」という結果の詠唱で、伝説性を想起。\n'],,,,,,['・昼の姿は主に回復。攻撃方法としては、こだま（頭からからする奴）を呼び出して、特攻させるとか？\u3000大量に特攻してくる光景は軽いほらーだね。あと、過剰回復で肉体を損傷させるという手もあると思う。\n'],['泥化→どろどろ→ろーどろーらーだぁぁぁ！→頭上からどーん→めておすとらいく→氷柱落とし\n'],,,,,,['・太陽と言えば、すからべ。すからべといえばふん。ふんといえば肥料。肥えろよ大地。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['・某さっかーあにめのごーるきーぱーさんのあれみたいな感じ。ぼーるを受け止める為ではないし、神の手でもない。\n'],,,,,,,,,['・この詠唱の最後は、叫ぶくらいが丁度いいと思う。えくすくらめーしょんまーくがつくくらいの大声で。というか、最後だけ叫ぶというより、初っ端から叫んでいるような気もする。\n'],,,,,,,,,,,,['・上級下級のくらすを設けて、この魔法を下級にしてみるのもいいかもしれない。そうしたら、上級用のかっこいい魔法名もつくることができる。\n'],,,,,,,,,,['・「赤色」についても、物騒ないめーじはある。が、魔法名に「庭園」と付けたことにより、少しばかり薔薇の色を思わせるようにした。あまり効果は無いかもしれないが…。\n'],,,,"['・さーかすの演目にある、火の輪を潜るらいおんに強い幻想を抱いたことから生まれた。\n', '・「嫌悪」は、毒は一般的に敬遠されることから。\n', '・三行目は、どちらも「う」の音で終わる名詞。「果実」は腐ることからの連想。肉体云々はこじつけ。「写し身」はよく分からない。「蟲毒」は、毒繋がり？。\n', '・十一行目は、第11曲「ぴあにすと」。わざと下手糞に弾くことから。いや、下手というか練習しているような感じ。とある動画を見たら、すごい格好でぴあのを弾いていた。かなり自由。\n', '\u3000一度発生すれば農作物を初めとした周囲の植物を食べ尽くしてしまうことから、洋の東西を問わず旱魃や洪水に並ぶ天災として古くから恐れられてきた。えじぷとにおいても旧約聖書の出えじぷと記に書かれた十の災いの一つに数えられているほか、現在でもたびたび発生し農作物に甚大な被害を与えている。一方で日本では生育条件から滅多に発生することがなく、本来はこれらを表す「蝗」の文字に「いなご」の読みが与えられている。\n']",,,,,,,,,,,,,,,,,,,,,,,,['・木材には干渉できないけれど、こんくりだったらいけるだろうか。\n'],"['電気操縦→こんとろーる→制御不能→暴走→叫び声→亡者\n', '【｜電気操縦《えれくとりかるこんとろーる》】\n']",,,,,['・女の子はお砂糖とすぱいすと素敵な何かで出来ている。ちなみに、男の子はぼろきれやかたつむり、子犬の尻尾で出来ている（まざーぐーす。”What are little boys made of？” ）。\n'],['れーざーびーむ→光線→すぺしうむ→かるしうむ→かりっとぼーん→かりばーん→かりぶ海→母なる海\n'],,,"['・詠唱を捧げることで、料理を強制的に美味しくする魔法。\n', '・見た目が酷すぎる上に、味も酷すぎる料理を強制的に美味しくすることができるので、新しい拷問ができそう。例えるなら、かれー味の◯◯◯を食べさせるような、そんな感じ。\n']",,,,['・二行目の「光の衣」って、何だか聖闘士の…。って思ったけれど、私あれしっかり見たことも、読んだこともない。ので、深くは書かない。\n'],"['・三行目は、「忍び込む」がちょっとしっくりきていない。\n', '・七行目の「愉悦」は、別の表現が良いかもしれない。ちょっとしっくり来ていない。\n', '・型は、他の属性でも該当する物があるように思う。火力を強めたり、土を固めて岩にしたり、などなど。しかし、「性質」が何だかしっくりこない。\n', '・三～四行目は、炎の描写。「煌々と」は、別の表現が良いかもしれない。ちょっとしっくりきていない。でも、「照らす」との相性は良い。\n', '・四行目は指示文。そのまんま。「赤光」の読みがちょっとしっくりきていない。「終につながる」というふうに、「標」の前に何か挿入するべきか迷う。\n']",,['\u3000しかしながら、多くの人間が魔術・魔法の詠唱に魅了されているのもまた事実。\n'],,,,,,,,['\u3000読みは、そのまま読むと「にくしみ」の音が「憎しみ」と被るので、「じゅーしー・どろっぷ・かーにゔぁる」と読んでください。\n'],,,,,,['・きゃっちこぴー「その蕾が開くところを見たものは、いない」。何故なら、見る前に気絶するから。…術者は見ることになるか。こりゃ、だめだな。不採用。\n'],"['・さいどすとーりーでは、「世捨て人となった老人が、ひっそりと生きるために考案したもの」という話を考えた。誰も近付かないようにするための幻影なのだろう。設置することが可能ならば、一種の結界と呼べるかもしれない。\n', '・詠唱を行なう場合、あまり実践向きではない。ただ、感覚を掴むために詠唱する分には有効である。何度も詠唱し、熟れることで、いずれは無詠唱で行使することもできるはず。\n', '・また、想定では光線は一本ずつしか放てないようにしているけれども、習熟の度合いによって、一度に数本の光線を展開することも可能になるかもしれない。\n', '・個人で行使することは稀で、大抵はそれぞれの属性を持つ者が力を合わせて行使する。\n', '・水の多い場所で行使する場合は、必要魔力が少なくて済む。しかし、近くに水気が全くない場合、相当の魔力を消費することになる。\n', '・同時に複数行使することで、空前絶後のがちむちふぃーるどを発生させてしまう恐れがあるため、多少注意が必要。\n', '・夜の姿は主に破壊。物理的な攻撃がほとんどだろうけれど、えなじーどれいんみたいな攻撃方法もあるんじゃないかな。相手を死に追いやる攻撃方法なら大抵のことはできそう。ごーすととかすけるとんなど、闇属性の魔物に力を分け与えて、強化することもできそうな感じ。\n', '・昼の姿は小さめだから場所に困らないけれど、夜の姿は大きいので呼び出す場所にも注意が必要。室内で呼び出すと悲惨なことになる。迷宮とかはきつい。時間を正確に把握できるなら、回復の｜要《かなめ》とすることができるけれど。\n', '・某小説の武技、【不落要塞】のような感じ。あれと違うのは、武技が自分にしか使えない技であるのに対し、これは魔法なので他者に行使することが可能であるということ。\n', '\u3000１ 厳しくしかったり、こらしめの体刑を加えたりすること。←こっち\n', '\u3000２ 強くいさめること。厳しく｜諫言《かんげん》すること。\n', '\u3000時には、魅了するだけでなく、（人を）拒絶し、（人間関係を）破壊し、（人格を）昇華することもありますが。\n', '・魔力の質を変化させることにより、魅了や洗脳の効果を付与することができる。しかし、その段階にいくと、もはや増幅型とは言えない。「覚醒」の意味合いが大きくなってしまう。\n', '・大気中の水分に干渉することで、蜃気楼のような幻覚を見せる魔法。\n', '・「空だけはどうすることもできない」と大蛇は言っていたけれど、ここでは自由に飛んでもらおう。\n', '・合わせ技で、ごーれむ大量召喚しといて泥濘の中に沈めておけば、敵の行動をさらに阻害できそう。そのまま泥の底で窒息死することもあり得る。\n', '起動条件―実物を知っていること。魔法陣を描けるだけの魔力を有すること。\n', '・転移させられるものは、魔法陣の大きさによる。大きく描けば、それだけ大きなものを転移することができる。\n', '・花開くまでに時間がかかるが、相手が予期せぬたいみんぐで攻撃できる。魔力を少しずつ吸収することで、発見を遅らせることもできる。\n', '・四行目の「仔羊」は、仮想敵を弱く表現することで、術の効力を高める狙いがあった。\n', '・電気を操作することによって、対象を操る魔法。\n', '・呪い扱いなので、術者を倒すなりすることで魔法を解くことは可能。\n', '・弱点が赤く光って見えるようになる。他者に行使することも可能。その場合、他者の魔力に合わせる、魔力同調の技術が必要。\n', '\u3000一度発生すれば農作物を初めとした周囲の植物を食べ尽くしてしまうことから、洋の東西を問わず旱魃や洪水に並ぶ天災として古くから恐れられてきた。えじぷとにおいても旧約聖書の出えじぷと記に書かれた十の災いの一つに数えられているほか、現在でもたびたび発生し農作物に甚大な被害を与えている。一方で日本では生育条件から滅多に発生することがなく、本来はこれらを表す「蝗」の文字に「いなご」の読みが与えられている。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['・体は菓子で出来ている―と、某詠唱を真似てみようかとも考えたけれどやめた。\n'],"['・いつもなら読点で改行するけれど、今回は続けてみた。そっちの方がおどろおどろしい感じがするかと思って。\n', '・二行目の「死の瞳」の部分で、おどろおどろしい瞳を出現させるように演出するのはどうだろう。閉じていた瞳がばっと開く感じ？\n']",,,,,,,,,,,,['・これで見た目が脂ぎったおっさんだったりとかしたら、絶対に悲鳴あげる。血走った目のおばさんでも同様。\n'],,,,,,,"['・五行目の「音弾」は、「音」をはっきり使いたかっただけ。爆弾要素は、勢いだよ。どこかの偉い人や、でいだらさんも言っていたでしょう？\u3000芸術は、爆発だって。\n', '・時空属性って何だろう。他は何となくぴんとくるけれど、この属性ははっきりしない感じ。\n', '・「四」と「相克」に、はっきりとした関連性は考えていない。何故尊いのかもよくわからない。\n']",,,,,,,['・一、二行目は起動文。ちょっとだけばたふらいえふぇくとを意識している。この魔法は意図的に行なうのだから、あまり関係は無いのだけれども。\n'],,,['\u3000｜蠢《うごめ》く｜万軍《ばんぐん》、名は悪夢。\n'],['【｜万物静動《ばんぶつせいどう》】\n'],,,,,,,,['・発射口は特に指定していない。かざした手のひらから放ったり、足の裏から放ったりできる。口から出しているように見せることも可能。\n'],,,,,,,"['・とある本に、『ぴくしーはみんなで輪になって踊るのが大好きだという』と書かれていて、そこから発想を得た。ぴくしーに関する小話が意外と面白かった。ぴくしーはいつも踊っているので、靴がものすごい勢いで擦り減るらしいですよ。\n', '・とある本に、『ぴくしーはみんなで輪になって踊るのが大好きだという』と書かれていて、そこから発想を得た。ぴくしーに関する小話が意外と面白かった。ぴくしーはいつも踊っているので、靴がものすごい勢いで擦り減るらしいですよ。\n', '・とある本に、『ぴくしーはみんなで輪になって踊るのが大好きだという』と書かれていて、そこから発想を得た。ぴくしーに関する小話が意外と面白かった。ぴくしーはいつも踊っているので、靴がものすごい勢いで擦り減るらしいですよ。\n']",,,['・時空属性って何だろう。他は何となくぴんとくるけれど、この属性ははっきりしない感じ。\n'],,,,,,,,,,"['・「太陽の使者」は、ふんころがし。すからべ。\n', '・ふんころがしの姿をした精霊を呼び出し、爆発物を作ってもらう魔法。\n', '・地属性にしたのはふんころがしをてーまにした魔法だから。鉱物に関係した文を書こうとも思ったけれど、複雑になりそうだったので止めた。\n', '・四行目は玉の内容物。実際のふんころがしにとって、玉になったふんはご飯であり、爆発するわけがないのだけれど。そこはまぁ、想像の産物というか、なんというか。\n', '・糞虫についても調べた。中々面白生態だった。ふんころがしが何故ふんを転がすのかは、よく分かっていないらしい。\n']",['※なお、男性はふんどし一丁の姿とする。\n'],,,,,,,,,,,,,,,,,,,['・すたんどっぽくするなら「女王」の方が良かったけど、「姫」の方が高飛車な感じが強くなるかなと。\n'],,,,,,,,,,,,,['・確実に、よるむんがん◯が影響を与えていると思われる（漫画）。あの、一巻最初の記述は詠唱に近いものを感じる。数字を出したり、陸と海という対となる対象を出してるからかもしれない。＜五つの陸を食らい尽くし・・・\n'],,,,,,,,,,,,,,,,['\u3000一度発生すれば農作物を初めとした周囲の植物を食べ尽くしてしまうことから、洋の東西を問わず旱魃や洪水に並ぶ天災として古くから恐れられてきた。えじぷとにおいても旧約聖書の出えじぷと記に書かれた十の災いの一つに数えられているほか、現在でもたびたび発生し農作物に甚大な被害を与えている。一方で日本では生育条件から滅多に発生することがなく、本来はこれらを表す「蝗」の文字に「いなご」の読みが与えられている。\n'],,,['・三行目は、第3曲「騾馬」。階段との言葉の相性はあまりよろしくない。\n'],,,,,,,,,,,['・「精巧緻密」は省くべき、そういう意見もあるかもしれない。が、無駄な装飾こそ中二らしいかな、と思ったり思わなかったり。\n'],,['・純粋な魔力を刃状にして放つ、攻撃魔法。別名、ぱわーすらっしゅ。\n']
N8196EOline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['お花がたくさん 咲いていた'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0028EVline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000彼はその100万回分悲しみましたが、100万人のなろう読者は彼に気付くことすらありませんでした。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
