,いらいら,うきうき,うじゃうじゃ,うとうと,おいおい,おろおろ,かたかた,からから,かりかり,きらきら,ぎこぎこ,ぎりぎり,くしゃくしゃ,くすくす,くよくよ,くるくる,くんくん,ぐずぐず,ぐちゃぐちゃ,ぐらぐら,ぐりぐり,ぐるぐる,げらげら,こつこつ,こてこて,ころころ,こんこん,ごつごつ,さやさや,さらさら,さわさわ,ざらざら,しとしと,じくじく,じりじり,じわじわ,すくすく,すらすら,するする,すれすれ,ずきずき,せかせか,そよそよ,そろそろ,だらだら,ちゅんちゅん,ちらちら,つんつん,てくてく,でんでん,とげとげ,とことこ,とろとろ,とんとん,どきどき,どろどろ,どんどん,にこにこ,にやにや,ぬくぬく,のそのそ,はらはら,ばかばか,ばたばた,ばらばら,ぱくぱく,ぱたぱた,ぱちぱち,ぱらぱら,ひしひし,ひゅるひゅる,ひょろひょろ,ひらひら,びくびく,びしょびしょ,びりびり,ぴーぴー,ふかふか,ふらふら,ふわふわ,ふわりふわり,ぶすぶす,ぶらぶら,ぶるぶる,ぶんぶん,ぷんぷん,へらへら,ぺんぺん,ぼやぼや,ぼりぼり,ぼろぼろ,ぽかぽか,ぽこぽこ,ぽたぽた,ぽつぽつ,ぽつんぽつん,ぽろぽろ,ぽんぽん,めらめら,もぐもぐ,もじもじ,もぞもぞ,もやもや,ゆらゆら,よちよち,よぼよぼ,よれよれ,りーんりーん,わくわく,わさわさ,わんわん
N1307EGline_info_n,,,,,,,,,,,,,,,,,,,,,"['\u3000どんどん\u3000ぐりぐり\u3000どんどんどん', '\u3000どんどん\u3000ぐりぐり\u3000どんどんどん', '\u3000どんどん\u3000ぐりぐり\u3000ぐるぐるぐる', '\u3000どんどん\u3000ぐりぐり\u3000困ったな', '\u3000どんどん\u3000ぐりぐり\u3000きのこっこ', '\u3000どんどん\u3000ぐりぐり\u3000きのこっこ', '\u3000どんどん\u3000ぐりぐり\u3000きのこっこ']",['\u3000どんどん\u3000ぐりぐり\u3000ぐるぐるぐる'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000どんどん\u3000ぐりぐり\u3000どんどんどん', '\u3000どんどん\u3000ぐりぐり\u3000どんどんどん', '\u3000どんどん\u3000ぐりぐり\u3000どんどんどん', '\u3000どんどん\u3000ぐりぐり\u3000どんどんどん', '\u3000どんどん\u3000ぐりぐり\u3000ぐるぐるぐる', '\u3000どんどん\u3000ぐりぐり\u3000困ったな', '\u3000どんどん\u3000ぐりぐり\u3000きのこっこ', '\u3000どんどん\u3000ぐりぐり\u3000きのこっこ', '\u3000どんどん\u3000ぐりぐり\u3000きのこっこ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000風がそよ\u3000日ざしぽかぽか\u3000葉は紅く'],,,,,,,,,,,,,,,,,,,
N9260EIline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['どんどん増えてく枚数ぅに'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3116EPline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000冷たいほうじ茶はおまけで、ほっとろいやるみるくてぃーのこてこて感に飽きたら、一口(ひとくち)飲む為に。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000わくわくする冒険譚(たん)。'],,
N1878EHline_info_n,,,,,,,,,,['５歳\u3000「駄菓子がいい」と言った。私は袋にいっぱいそれを詰めてあげた。朝、娘の目はきらきらしていた。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['２歳\u3000娘はふらふら走って「まま……」と言った。だからままは添い寝をした。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8068EIline_info_n,,,,,,,,,,['\u3000きらきらと全てが輝き'],,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000すくすくと育つ様を隣で見守った'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8350EXline_info_n,,,,,,,,,,,,,,,,,,,,,,,,['\u3000こつりこつこつ 斧ならぁし'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3385BMline_info_n,['\u3000寝室の戸が少し開いていて、それ以上開かないことにいらいら。\n'],['\u3000何を話そうかな、なんてうきうきとして。\n'],,"['○うたたね……思わず、うとうとすること。\n', '○まどろむ……うとうとと眠ること。\n']",,,,,,,,,,,,,,,,,,,,,,['○｜玉《たま》……宝石。ちなみに、「玉のような赤ちゃん」とは、「ぼーるのようにころころとした赤ちゃん」という意味ではなく、「宝石のように美しい赤ちゃん」という意味である。\n'],['\u3000その川のようにこんこんと湧き出て来るあの人への想い。\n'],,"['○さやに……さやさやと。\n', '○さやげ……元の形は「さやぐ」で、（草木の葉などが）さやさやと音を立てること。\n']",,"['\u3000さわさわとした葉の音が想いをあふれさせるんだ。\n', '\u3000さわさわ、さわさわ、と美しい山を震わせている\n', '\u3000さわさわ、さわさわ、と美しい山を震わせている\n']",,"['\u3000さつきの山は｜鬱蒼《うっそう》として、緑なす葉にしとしと雨が。\n', '\u3000気がつくと、春の朝にしとしとと雨が降る。\n']",,"['\u3000さしも草がじりじりと燃えているように、ぼくの心もまた、きみを想って燃えていることを。\n', '\u3000夕なぎのころ、藻塩が焼けるようにじりじりとした気持ちで。\n']",,,,['\u3000きみのつるで、あの人をするするとたぐりよせたい。\n'],,,,"['\u3000山に近い笹原に風が吹いて、笹の葉がそよそよと鳴る。\n', '○そよ……笹の葉が「そよそよ」と鳴る音を表すとともに、「そのことなんですよ」という意味も表す。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['○袖をしぼりつつ……和歌で、袖が出てきたら、涙を思い浮かべるのがよい。涙を袖で拭うわけです。拭った涙でびしょびしょになった袖をしぼるというわけ。\n'],,,,['\u3000恋しさを抱いてふらふらとあなたのお住まいが見える奈良山へと。\n'],,,['\u3000まるで藻塩火のようにぶすぶすと燃えるきみへの気持ち。\n'],,,,,,,,,,,,,,['\u3000ぽつんぽつんと現れた金色の光に、あなたは見惚れたまま。\n'],,,,,,,,['○たゆた｜ひ《い》……元の形は、「たゆた｜ふ《う》」で、ゆらゆらと動いて定まらないこと。ここでは、心が定まらないことを言う。\n'],,,,,,,
N2870ERline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,['水路をころころ流れる\n'],,,,,,,['しとしと雨がやまない\n'],,,,,,,,,,,,,,,,,,,,,,,,"['小さな魚たちがどんどんどんどん泳ぎ過ぎる\n', '小さな魚たちがどんどんどんどん泳ぎ過ぎる\n', '小さな魚たちがどんどんどんどんもどって行く\n', '小さな魚たちがどんどんどんどんもどって行く\n']",,,,['午後からのそのそ\n'],,,,,,,,,,,['ひょろひょろした｜茨《いばら》の｜根方《ねかた》で揺れる白い花のひと｜群《む》れを\n'],,,,,,,,,,,,,,,,,,,,,,,['ぽつぽつと\n'],,,,,,,,,,,,,,,,
N3959EUline_info_n,,,,,,,,,,,,,,,,,,,,,,,,['こつこつと響く足音\n'],,,,,,,"['さわさわとそよぐ風\n', 'さわさわと育つ葉の｜音《ね》が響くとき\n']",,,,,,,,,,,,,['そろそろ行こう\u3000そう思った\n'],,,,,"['てくてくてくてく歩いてた\n', 'てくてくてくてく歩いてた\n']",,,,['今はただ\u3000とろとろと落ちて\n'],,,,,,,,,,,,,['\u3000答えのない声  ぱくぱくと\n'],,,,,,,"['\u3000ひらひらと翻りながら\n', '水盆にひらりひらひら紅葉舞う\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['揺らぎゆらゆら  重なりの影\n'],,,,,,,
N1318EIline_info_n,,,,,,,,,,,,,,,,['くるくる舞い散る'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['はらはら', 'はらはら']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1475EMline_info_n,,,,,,,,,['人には媚びず\u3000かりかりを食む'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7484EVline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ぼろぼろにも関わらず、負けなかった体は軽かった。'],,,,,,,,,,,,,,,,,,,,
N1368EJline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['車窓はどんどん違う景色を映し出していく'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3920EHline_info_n,,,,,,,,"['からから\u3000からから\n', 'からから\u3000からから\n', 'からから軋むその胸の\n']",,,,,,,,"['くるくる\u3000くるくる\n', 'くるくる\u3000くるくる\n', 'くるくる廻る運命の輪\n']",,,,,,,,,,,,,,,,,,['じくじくと胸疼くのは\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['はらはらと涙零れ\n', 'はらはらと涙\n', 'はらはらと涙零れる\n', 'はらはらと涙こぼれる\n']",,,,,,,,['ひしひしと感じてる\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7542ERline_info_n,,,,,,,,,,,,,,,,,,,,,['おなかの中に顔をうずめてぐりぐりしてやりたいのである'],,,,,,,,,,,['ざらざらとした舌に舐められる痛さは快感である'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6526EQline_info_n,,,,,,,,,,,,,,['くすくすと笑うようになって'],,,,,,,,,['げらげらと笑ってた君は'],,,,,,,,,,,,,,,,,,,,,,,,,['つんつんとつつくだけになった'],,,,,,,,,,,,,,,,,,,['ぱたぱたと走るようになって'],,,,,,,,,,,,,,,,,,,,,,,,,,['ぽこぽこと叩いてきた君は'],,,,,,,,,,,,,,,,,,
N5560EOline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['いつもへらへらしてるけど', 'へらへらしてるくせに']",,,,,,,,,,,,,,,,,,,,,,,,
N0222EHline_info_n,,,,,['おいおい、そのまま\n'],['おろおろしたさ。\n'],,,,,"['ぎこぎこ\n', 'ぎこぎこ\n', 'ぎこぎこ\n', 'ぎこぎこ\n']",,['髪をくしゃくしゃに撫でるはしゃぐ君が可愛い\n'],,,"['途中で、くるくる回りながら走りだした\n', '１人でくるくる回って\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,['本当に自由になりたいんだ遠くへ走り去りたい気分だ映画みたいに駆け出したいこの扉の裏側に逃げようか去るものに意味はないならそろそろ許して忘れてくれ愛し合うためにここいたい\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['ふわふわ、ふわふわと、\n', 'ふわふわ、ふわふわと、\n']",,,,,,,,,,,"['幼い頃に起きた、悲しい裏切りのために、君はぼろぼろに傷つけられてしまい、心を閉ざしてしまった。君は自分自身を守り、自分自身を絶望から助け出すために必死に戦ってきた。逆境の中で、良く耐えて頑張ってきたと思う。\n', 'ぼろぼろの詩集を着古したれいんこーとのぽけっとから取り出して、行き交う通行人に向けて詩の朗読をしたが、聞いてくれる人が誰もいないこの絶望の悲しみ。彼らは何も見えないし何も感じないのだ。\n', '本屋の中にある椅子に座って表紙がぼろぼろになった詩集を取り出して読み耽る『本屋にいるのに、持参した詩集を読み耽る詩人が、只今、本屋で休憩中』という言葉が浮かんだ\n']",,,,,,,,,,,,,,,['よれよれのよぼよぼになっても話し尽くそうよ\n'],['よれよれのよぼよぼになっても話し尽くそうよ\n'],,,,
N7386EJline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['どんどん見慣れない場所に歩いて行く指導看護師'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['と言って下さいました。栗原看護主任に教えていただき、そっと赤ちゃんの手に触れました。もぞもぞして反応してくれました。ご両親が'],,,,,,,,,
N0841ENline_info_n,,,,,,,['漢字ひらがなかたかたなで創り出す物語'],,,,,,,,,,,,,,,"['ぐるぐる書け！ ぐるぐる書けよ！', 'ぐるぐる書け！ ぐるぐる書けよ！']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['所で午前は2時  あくせす数はとんとんだ'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['ぽつぽつとつく ぶっくまーく', 'ぽつぽつとつく  評価', 'ぽつぽつとつく  あくせす']",,,,,,['もじもじしないで話してみな '],,,,,,,,,,
N4174EWline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['とことこ\u3000歩く\u3000ぶぶぶんちょう'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ぶんぶん\u3000ぶんちょう\u3000ぶぶぶんちょう'],,,['ぺんぺん\u3000ぺんぎん\u3000ぺぺぺんぎん'],,,,,,,,,,,,,,,,,['よちよち\u3000歩く\u3000ぺぺぺんぎん'],,,,,,
N1764CQline_info_n,,,,,,,,,,,,,,,,,['ほら\u3000古本のにおいを\u3000くんくんすると\u3000あんしんするでしょう'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6450EPline_info_n,,,,,,,,,,['きらきらと綺麗なものだったり'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ぼろぼろと'],['ぽかぽかと温かいものだったり'],,,,,['ぽろぽろと'],,['めらめらと燃えるものだったり'],,,,,,,,,,,,
N8448EIline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['これでふかふかのお布団の出来上がり'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6660EHline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ばたばた翼を羽ばたかせる\u3000'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['雪の降る寒い日\u3000ぽかぽか暖かい日'],,,,,,,,,,,,,,,,,,,
N5504EOline_info_n,,,,,,,,,,,,,,,,,,,['きれいでも  ぐちゃぐちゃでも'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6777ELline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['ふわふわと降りてくる', 'ふわふわとした綿雪が']",['ふわりふわり舞い降りて'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
